FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
70452.5,55061,83855.6,28479.4,8.96,20.8,-8.7,136.3
35922.6,25905,90879.1,53233.4,12.16,39.52,21.75,236.88
44225.2,37516,77256.1,20502.6,16.64,8.32,-7.83,115.62
48798.1,42015,76116.5,24961,8.96,23.92,30.45,195.52
46586.4,35640,85664.6,19408.5,11.52,35.36,6.09,115.62
51014,32631,102456,30892.2,-1.92,15.6,26.97,171.08
34008.2,26999,82549.9,22210.2,-4.48,40.56,6.96,84.6
69817.4,51160,89436.2,33553.5,14.08,45.76,26.1,129.72
28857.4,18553,101935,32315.9,8.96,40.56,32.19,88.36
47878.3,38821,80826.2,35147.8,28.8,69.68,40.89,153.22
94136.3,49716,124091,54410.7,29.44,59.28,19.14,182.36
70087.1,44009,104370,60311.7,27.52,102.96,24.36,1000.16
36829.8,27008,89369,23724.5,33.28,75.92,13.05,162.62
45815.3,40237,74621.6,24323.5,-0.64,-15.6,30.45,82.72
58401.8,44680,85663,27880.3,22.4,60.32,-5.22,124.08
48872,39743,80589.7,20206.2,30.08,23.92,31.32,302.68
53068.7,42760,81335.6,31482.9,21.76,23.92,22.62,314.9
74268.6,53843,90397.4,76737.4,8.96,38.48,55.68,210.56
73957.8,56582,85661.5,53152.3,-10.88,47.84,12.18,143.82
37148.2,28573,85204.3,20324.7,-11.52,11.44,-13.05,86.48
11715.5,7280,105465,37435.8,16,28.08,-2.61,86.48
69400.8,57965,78465.5,51960.5,21.12,59.28,47.85,94
45630.5,31829,93953.3,31096,16.64,61.36,20.01,126.9
63853.4,51664,80998.4,35196.7,11.52,59.28,11.31,91.18
86137.8,69603,81104.6,26033.3,24.32,79.04,5.22,96.82
48293.3,41114,76979.8,24025,10.88,19.76,3.48,94
31636.9,25260,82080.6,30424.2,19.2,20.8,-3.48,89.3
59880.2,41516,94525.3,29640,17.92,213.2,33.93,105.28
58012.9,44656,85138.3,43259.8,47.36,48.88,0.87,112.8
85083.6,62152,89716.2,38557,-1.28,18.72,49.59,126.9
87262.6,71029,80514.1,26139.4,1.28,23.92,-13.05,134.42
63345.2,48589,85439,30620.7,22.4,41.6,32.19,159.8
50889.7,42128,79166.1,23848.2,5.76,21.84,18.27,58.28
67504.1,47820,92512.5,33821.8,24.32,73.84,17.4,127.84
57423.2,42154,89274.8,45969,35.84,73.84,13.05,166.38
55274.5,42479,85276.8,30569.8,-2.56,11.44,15.66,110.92
28509.6,22626,82577.8,23362.6,13.44,28.08,-0.87,53.58
72859.1,53720,88884.8,29512.1,-14.72,22.88,17.4,93.06
31699.1,23752,87463.4,28214.2,46.72,37.44,5.22,134.42
42618.2,28930,96544.4,29902.1,21.12,58.24,13.92,109.98
26245.8,16212,106097,33819.8,9.6,37.44,20.01,96.82
50905.7,34371,97063.1,25777.4,20.48,34.32,28.71,85.54
61036.1,49784,80348.3,25240.8,30.08,74.88,1.74,59.22
79558.1,66063,78923.4,44295.7,38.4,109.2,6.09,191.76
55348.4,44624,81286.2,35093.8,3.84,42.64,-2.61,135.36
44483,32447,89846.2,55188.6,-12.16,61.36,-3.48,119.38
62236.4,45472,89697.6,49270,-8.32,50.96,29.58,1158.08
32013.2,25389,82635,20255,3.84,36.4,13.92,78.02
51080.4,42906,78021.8,24007.4,4.48,57.2,13.92,80.84
