FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
57016.7,45158,82746,22975.7,10.88,56.16,8.7,131.6
65167.2,49425,86409.7,59277.9,8.96,234,41.76,519.82
38306.5,22776,110224,41487.7,-8.32,27.04,26.1,181.42
43293.6,34325,82659.6,20392.3,19.84,35.36,-21.75,54.52
32912,27080,79650.1,32893.1,-4.48,45.76,-3.48,125.02
60280.1,51141,77247.5,50060.4,17.92,62.4,37.41,216.2
22236.5,16281,89508.6,22567,30.72,56.16,9.57,78.02
77761.3,65416,77904,33751.1,4.48,298.48,38.28,79.9
60678.2,48116,82646.3,29595.3,-0.64,22.88,13.05,96.82
70260.1,54245,84884.6,30188.1,-15.36,50.96,1.74,76.14
45314.6,33280,89235,33748,0.64,57.2,9.57,130.66
39591.7,29337,88444,25205.4,10.24,89.44,29.58,132.54
30965.8,26130,77664.4,23280.4,-12.16,36.4,-8.7,129.72
22371.7,15109,97038.4,31443.4,-3.84,55.12,4.35,115.62
41098.7,28906,93179.4,26476.3,-13.44,10.4,-7.83,26.32
44769.5,32588,90033.5,27026.5,-3.2,96.72,-6.96,93.06
42695.5,36217,77259.1,23448.9,13.44,32.24,13.92,110.92
32705.4,17389,123261,31381,1.92,60.32,17.4,151.34
60598.4,33760,117636,38909.5,0.64,69.68,5.22,354.38
50103.5,38573,85126.4,22607.5,7.04,101.92,-6.09,299.86
45966.5,36494,82546.7,29329,19.84,69.68,3.48,132.54
84813.1,66280,83861.1,47529,38.4,107.12,44.37,167.32
47176.9,39373,78525.5,19826.6,16,15.6,-8.7,150.4
35014.6,25320,90628.5,26654.2,-6.4,433.68,1.74,290.46
47112.2,38704,79773.4,22354.8,1.92,4.16,-9.57,78.02
25695.6,18265,92197.5,28813.2,15.36,48.88,-6.09,103.4
42341.9,36029,77019,21385.5,-1.92,13.52,0.87,121.26
41055,34931,77025.6,20085.5,1.28,43.68,6.09,80.84
58048.2,45467,83670.5,30154.8,8.32,133.12,12.18,114.68
49171.9,34120,94447,34263.8,9.6,48.88,14.79,134.42
35374.9,29309,79099.6,34990.8,-2.56,27.04,-0.87,71.44
41044.9,31011,86740.8,50497.2,-1.92,24.96,-21.75,137.24
49227.4,39464,81749.6,20328.9,14.72,45.76,-32.19,75.2
65288.2,51218,83539.5,27399.8,7.68,31.2,-19.14,90.24
69054.7,56688,79832.9,34723.5,19.2,64.48,19.14,79.9
43444.8,32186,88460.8,45471.9,1.92,22.88,-21.75,430.52
51097.2,41651,80399.2,32497.9,16,26,41.76,45.12
74675.2,59324,82494.6,40989.5,3.84,216.32,13.05,100.58
63864.4,53432,78331.6,23385.4,10.88,21.84,6.09,430.52
27552.8,19776,91307.8,27675.4,14.72,65.52,37.41,89.3
41928.6,35080,78330.5,21148.4,18.56,52,33.06,95.88
27139.6,20100,88488.5,23744.2,20.48,40.56,26.1,68.62
42143.6,30696,89976.7,27783.6,2.56,41.6,-17.4,62.04
60034,45052,87329.9,36422.9,-3.84,83.2,40.02,177.66
55393.8,42737,84944.9,27406.1,12.8,63.44,0.87,125.02
22655.6,15651,94866.8,27814.8,-5.76,41.6,23.49,101.52
44947.6,31704,92912,24291.3,-16,60.32,11.31,125.96
41118,32638,82563.6,28014.5,-13.44,30.16,26.97,77.08
29085.8,22616,84284.1,13252.7,-1.92,-7.28,-13.92,195.52
35927.6,25035,94050.5,37637.6,34.56,92.56,31.32,103.4
