FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
48653.6,34887,91396.9,56224.5,30.08,109.2,28.71,170.14
43591.8,31629,90323.2,30656.1,-23.68,49.92,25.23,179.54
67066.4,51810,84834.3,46223.8,-3.84,40.56,-12.18,166.38
125294,72493,113269,70979,32.64,112.32,36.54,290.46
41777.4,33876,80821.9,26157,1.92,19.76,15.66,78.02
31811.6,24895,83744,31608.7,-12.8,30.16,10.44,75.2
86917.3,64082,88889.4,70723.1,29.44,106.08,26.1,219.96
58839.5,40415,95412.7,35760.4,10.24,80.08,25.23,120.32
70881.7,40621,114357,47029.8,11.52,57.2,32.19,163.56
32856.6,24132,89229.7,35055.3,17.28,763.36,38.28,188
10201,6280,106454,35639.8,-5.76,-10.4,13.05,38.54
53466,41321,84798.2,41922.4,22.4,18.72,60.03,212.44
19566.1,14625,87677.6,27967.7,30.72,46.8,47.85,70.5
101802,68185,97847.1,56053.9,27.52,71.76,61.77,252.86
59530.8,42725,91314.5,39682.2,-5.12,-8.32,35.67,151.34
25600.7,16380,102428,45659.1,19.2,24.96,38.28,66.74
70445.8,57690,80026.6,38918.9,42.88,74.88,-2.61,180.48
51093.8,43590,76817.8,29994.6,23.68,46.8,23.49,155.1
65625.8,51438,83612.4,41902.6,19.84,27.04,-3.48,112.8
41453.2,30524,89001.3,36537.3,12.16,35.36,26.97,185.18
60515.3,47084,84230.9,36494.6,-14.08,0,1.74,165.44
49827.1,43297,75420.3,46142.7,-8.96,45.76,7.83,176.72
27325.2,22816,78488.1,27663,-16,17.68,5.22,343.1
14023.8,11210,81986.1,39252.7,-1.28,-2.08,0,27.26
54511.8,45080,79247.7,35192.6,-5.76,7.28,-1.74,94
96338.8,70907,89041.4,50833.1,10.88,46.8,-0.87,95.88
61929.8,49397,82163.6,37005.3,16.64,50.96,19.14,306.44
59393.9,50456,77145.2,39573,12.16,72.8,24.36,153.22
33885.6,26985,82294.9,36550.8,12.16,54.08,32.19,307.38
40363.7,32749,80774.2,29097.1,27.52,21.84,6.09,88.36
79154.9,59420,87302.1,33210.3,0,22.88,-49.59,110.92
29124.5,21873,87262.9,35515,-21.12,18.72,-18.27,158.86
46778.8,35604,86105.3,37397.4,11.52,55.12,-1.74,108.1
28694.4,22618,83142.5,19884.8,0,104,-9.57,78.96
45244.9,34555,85810.2,29434.1,12.8,37.44,-8.7,285.76
97713.8,75034,85345,52792.5,13.44,78,-5.22,119.38
17568.6,12548,91757.7,34985.6,-6.4,586.56,16.53,48.88
28194.6,20388,90629.8,37529.4,7.04,61.36,16.53,118.44
84637.6,66011,84028.5,42465.3,5.76,22.88,-1.74,232.18
86738.4,69377,81936.2,36288.7,23.04,76.96,26.97,181.42
34504.7,27268,82928.7,23714.1,-1.28,-12.48,-4.35,48.88
45258.4,32745,90580.3,23494.6,-6.4,-4.16,-35.67,88.36
42283.9,33405,82955.2,29387.3,5.76,125.84,6.96,141.94
26931.2,23261,75876.6,25150.3,-10.88,16.64,-9.57,76.14
56255.6,33465,110168,46761.5,25.6,110.24,59.16,111.86
62042.4,49390,82324.6,50209.1,15.36,79.04,20.88,151.34
47206.3,35839,86322.5,25290.7,14.72,44.72,-0.87,114.68
109355,79549,90091.1,71659.1,-1.28,83.2,20.01,198.34
46389.8,35517,85598.6,20467.2,-3.2,31.2,-2.61,79.9
54580.7,30593,116922,32909.8,22.4,82.16,14.79,356.26
34248.5,23597,95118.4,35726.1,14.08,98.8,10.44,82.72
50679.7,40264,82489.2,29315.5,-8.96,26,36.54,171.08
32725.6,24368,88013.1,33374.6,17.28,22.88,20.88,78.96
71523.5,58504,80120.4,43585.4,0.64,16.64,35.67,122.2
37927.7,31092,79944.3,30892.2,-4.48,7.28,15.66,73.32
51240.8,34644,96932.2,38498.7,-9.6,26,8.7,149.46
80490.5,61836,85306.7,54823.6,-10.88,12.48,-6.96,226.54
22481.8,15248,96626.8,29617.1,1.92,34.32,-10.44,75.2
52165.7,42108,81189.6,38037,3.2,33.28,0.87,79.9
82059.6,65973,81516,52606.3,27.52,64.48,9.57,160.74
27011,19326,91596.6,32733,1.28,12.48,25.23,55.46
23411.6,17585,87250.8,21177.5,0.64,10.4,11.31,35.72
33124.6,23922,90747.1,29227.1,5.76,68.64,-3.48,59.22
58516.1,41480,92452,43770.5,26.24,89.44,13.05,238.76
