FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
39884.9,29961,87243.3,21523.8,0.64,64.48,19.14,211.5
41140.7,30612,88076.4,33472.4,3.84,34.32,24.36,302.68
35829.4,28474,82465.2,30230.7,15.36,20.8,27.84,228.42
32462.6,22798,93318.3,27241.8,14.08,58.24,27.84,175.78
42649.3,31963,87446.9,38565.3,1.28,39.52,46.11,286.7
61478.8,48035,83877.8,38548.6,-6.4,21.84,26.1,255.68
40400.6,27572,96028.5,45309.7,2.56,56.16,41.76,392.92
40567.8,33104,80312.1,31293.6,17.28,33.28,5.22,267.9
56984.8,34608,107910,54764.3,38.4,96.72,89.61,2897.08
73900.7,56785,85289.3,41922.4,19.2,99.84,60.9,558.36
60559.8,52640,75396,29412.2,23.04,69.68,36.54,329.94
23180.6,16785,90507.4,40057.7,24.96,70.72,23.49,239.7
47675.9,35803,87268.8,44245.8,19.84,73.84,21.75,501.02
52967.9,36040,96318.1,34722.5,26.88,58.24,24.36,318.66
52479.8,42837,80288.5,29592.2,19.2,52,13.92,258.5
29657.9,19665,98838.5,37794.6,1.92,74.88,12.18,293.28
68065.2,52972,84209,42247.9,-5.76,62.4,38.28,373.18
46240.3,34948,86711.8,27348.9,-16.64,7.28,31.32,173.9
24989.2,17171,95375.3,28960.9,-12.16,26,27.84,245.34
32595.4,26293,81244.8,19483.4,-5.12,16.64,19.14,119.38
29608.3,24461,79326.7,34356.4,7.04,57.2,28.71,215.26
39014.6,31704,80648,25227.3,3.2,54.08,42.63,373.18
29983.8,16010,122737,37827.9,10.88,72.8,60.9,385.4
39967.2,29536,88681.3,54548,19.2,68.64,104.4,422.06
34997.8,25208,90987.5,25548.6,6.4,47.84,54.81,251.92
77370.7,63237,80183.6,33332,32,97.76,80.04,446.5
45178.6,34978,84648.1,35047,35.84,100.88,46.11,729.44
20397.7,14220,94007.4,39029.1,17.92,72.8,23.49,263.2
29391.6,23532,81854.8,28305.7,21.76,28.08,35.67,181.42
33807.5,26462,83727.9,23648.6,3.2,22.88,16.53,236.88
31707.5,19115,108709,31909.3,10.88,65.52,16.53,325.24
54792.4,36843,97464.2,51493.5,25.6,68.64,49.59,488.8
35885.6,20246,116161,39926.6,8.96,38.48,44.37,446.5
60183.5,48131,81946.9,49993.8,22.4,91.52,56.55,893.94
75710.9,59119,83928.8,35983,8.32,63.44,11.31,341.22
