FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
56782.3,44924,82835.1,36428.1,1.28,343.2,23.49,227.48
42363.7,30512,90992,34958.6,-8.96,64.48,34.8,133.48
43488.5,32417,87918.7,31590,0.64,67.6,33.93,105.28
43538.9,35405,80592.1,37714.6,7.68,3982.16,22.62,209.62
15573.6,14105,72359.5,44196.9,28.16,22.88,14.79,129.72
56002,44864,81806,41092.5,39.68,1010.88,33.06,166.38
26559.1,20692,84118.4,22654.3,-12.8,203.84,16.53,66.74
30682.7,26311,76425.1,23719.3,-0.64,187.2,-8.7,65.8
51564.2,41101,82219.8,25121.2,-29.44,30.16,-8.7,57.34
27272.3,20446,87416.4,27544.4,1.92,4340.96,14.79,151.34
51456.7,40405,83461.6,24335,29.44,57.2,20.88,66.74
69637.7,55429,82335.5,24550.2,13.44,68.64,7.83,125.02
37495.1,31197,78766.5,27305.2,35.2,444.08,46.98,136.3
36035.2,24174,97691.8,37110.3,-10.24,35.36,14.79,87.42
76910.4,62032,81254.8,47884.7,9.6,97.76,51.33,391.98
17422.4,12409,92013.6,25988.6,34.56,69.68,26.1,69.56
38561,31513,80193.5,26352.6,16.64,52,-16.53,86.48
38326.7,32494,77299.7,22985,0,162.24,5.22,45.12
52390.8,41087,83566.2,22414.1,3.2,43.68,18.27,73.32
37862.2,29844,83143.5,23313.7,16.64,710.32,-24.36,46.06
42590.5,26838,104002,44482.9,41.6,1208.48,80.91,250.04
99477.8,75357,86513.3,62960.6,8.96,1098.24,18.27,195.52
58147.3,44833,84998.6,37213.3,-10.88,172.64,5.22,129.72
38326.7,29688,84605.8,23812.9,16,15721.7,12.18,164.5
47022.4,35341,87197.8,27888.6,-15.36,139.36,-18.27,89.3
14080.9,7594,121518,26311,21.76,36.4,-1.74,67.68
34870.1,28270,80836.4,32507.3,11.52,191.36,-23.49,242.52
55750,44701,81734.9,28977.5,-5.12,32.24,-26.1,89.3
20060,14905,88202.3,32187,4.48,1815.84,2.61,103.4
16304.4,11704,91295.7,35181.1,14.72,5770.96,-9.57,147.58
81878.2,68261,78609.6,51455,15.36,1392.56,-19.14,162.62
33490.8,26105,84077.9,40441.4,20.48,509.6,21.75,130.66
56385.8,45445,81313.7,49080.7,7.68,7126.08,34.8,312.08
46284.8,38404,78984.6,23652.7,17.92,2395.12,-8.7,94
54230.4,39116,90859.1,36734.9,23.68,266.24,3.48,113.74
48651.1,39162,81415.6,31176.1,33.92,794.56,9.57,126.9
33259.8,24184,90130.4,34676.7,4.48,258.96,14.79,109.04
50244.6,37950,86767.6,35617.9,1.92,138.32,-8.7,147.58
40619.9,31699,83979.4,31894.7,-0.64,19.76,-14.79,176.72
70318.1,57497,80149.7,34423,-0.64,1144,16.53,129.72
53739,42428,83007.4,45005,6.4,2627.04,0.87,180.48
78979.3,58769,88073.5,39836.2,22.4,2734.16,-0.87,180.48
49147.6,36831,87451.7,32503.1,20.48,899.6,13.05,199.28
87213,66987,85323.9,61219.6,-12.16,840.32,47.85,2961
68027.4,40610,109782,78311,30.08,330.72,42.63,290.46
29610.8,23290,83322.3,26125.8,3.84,376.48,12.18,82.72
45897.6,37270,80706.9,21123.4,-5.76,1319.76,3.48,78.96
94391.6,62192,99467,111244,16.64,298.48,50.46,663.64
43194.5,33885,83541.2,36539.4,3.2,302.64,20.88,147.58
48809,38740,82569.7,27577.7,2.56,2177.76,24.36,82.72
46591.4,36849,82862.9,22024.1,-16.64,17.68,1.74,112.8
26238.2,19458,88372.4,36364.6,10.24,594.88,20.88,117.5
60786.6,46816,85092.9,29968.6,0,87.36,30.45,91.18
52990.6,43012,80740,17500.1,-29.44,4941.04,0,127.84
78697.1,61740,83535.7,49578.9,26.24,302.64,37.41,157.92
48293.3,33738,93809.6,40423.8,23.68,678.08,17.4,107.16
43682.5,34043,84093,20523.4,26.24,393.12,-7.83,86.48
33814.2,26945,82243.4,34902.4,9.6,3466.32,7.83,88.36
29754.5,24284,80299.4,27627.6,-2.56,1097.2,6.09,159.8
60104.5,49040,80322.4,26659.4,16.64,586.56,46.98,218.08
47488.6,38937,79929.4,26262.1,35.2,491.92,28.71,116.56
53591.2,41717,84189.9,34312.7,28.8,78,17.4,295.16
56227.1,44893,82081.8,27161.7,-14.08,554.32,17.4,83.66
81712.7,64805,82634.4,41117.4,7.04,102.96,14.79,103.4
15927.2,10689,97652.5,29440.3,-0.64,58.24,-11.31,96.82
36022.6,25603,92206.9,25832.6,-14.72,20.8,5.22,83.66
35769.7,28608,81942.3,31013.8,-1.92,10.4,-0.87,87.42
33848.6,27218,81501.4,21247.2,-1.28,62.4,-14.79,76.14
27146.3,19433,91548.3,38082.7,3.84,8100.56,41.76,74.26
35846.2,26364,89106.9,35915.4,16.64,126.88,-4.35,120.32
62878.2,54708,75323.3,25685.9,1.28,63.44,-13.05,86.48
