FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
29163.1,20104,95067.4,38354.2,8.32,58.24,20.88,418.3
55849.9,38948,93976.1,47921.1,19.84,54.08,77.43,956.92
71116.9,53236,87548.2,40251.1,0.64,56.16,22.62,360.96
52915.8,40524,85576.2,29726.3,4.48,29.12,42.63,244.4
66985.8,54087,81165.2,31578.6,17.92,63.44,31.32,334.64
61506.5,48753,82679.8,30248.4,25.6,79.04,12.18,406.08
55945.7,44728,81972.3,28917.2,13.44,36.4,30.45,235
72300.5,56300,84161.4,29153.3,0,65.52,12.18,265.08
48177.4,34974,90277.1,25063,18.56,61.36,16.53,258.5
64844.6,52197,81415.8,40822.1,6.4,71.76,54.81,443.68
46163.9,37125,81492.1,26345.3,18.56,58.24,12.18,183.3
85483.4,68470,81820.4,42517.3,41.6,141.44,32.19,502.9
70151.8,56253,81728.4,35780.2,27.52,85.28,37.41,369.42
49072,26061,123402,68246.9,5.12,132.08,107.88,619.46
33141.4,22038,98554.9,44425.7,31.36,68.64,46.11,378.82
52688.2,45570,75772.9,34893,23.68,79.04,73.08,470
32954.9,22494,96013.7,38380.2,-3.84,45.76,16.53,374.12
64441.4,40147,105194,74217.5,6.4,136.24,58.29,4985.76
42777.8,33653,83305.8,29277,-12.16,39.52,13.92,211.5
31326.1,25967,79061.5,13125.8,-0.64,45.76,20.01,165.44
78971.8,62757,82468.8,36107.8,16.64,64.48,27.84,346.86
50608.3,41073,80750.5,23367.8,-3.2,11.44,33.93,140.06
28744,21964,85766,26141.4,7.04,41.6,24.36,236.88
80577,64883,81388,39478.4,14.08,68.64,25.23,396.68
25620.8,18081,92864.7,31789.7,8.32,39.52,34.8,221.84
55960.8,44126,83113.1,41359.8,6.4,83.2,45.24,331.82
60262.4,49035,80541.6,35609.6,-7.04,82.16,10.44,310.2
32750.8,26743,80258.5,28865.2,-10.88,64.48,40.02,206.8
61696.3,47551,85031.4,31647.2,9.6,37.44,33.06,319.6
40913.9,30045,89243.9,42045.1,14.08,73.84,5.22,316.78
77332.1,63857,79365.4,43168.3,21.76,70.72,3.48,5296.9
52231.2,38608,88661,43835,17.28,137.28,49.59,476.58
51446.6,41044,82146.1,27741,26.24,76.96,40.89,309.26
51138.4,38632,86752,37531.5,29.44,90.48,26.1,328.06
72508,49970,95094.7,56733,14.08,106.08,66.99,531.1
86686.3,65971,86114.7,44128.2,17.28,63.44,38.28,364.72
60013.8,47210,83310,34339.8,8.32,81.12,42.63,259.44
54747.8,42503,84416.5,22372.5,1.28,39.52,23.49,234.06
61141.1,47700,84003,33428.7,28.16,69.68,28.71,525.46
63787.9,47111,88735.2,45651.8,13.44,66.56,30.45,407.02
25099.2,17220,95522.7,43849.5,13.44,50.96,-6.96,374.12
58393.4,44413,86165.6,38890.8,33.28,92.56,48.72,413.6
124548,82573,98850.2,85354.9,56.32,204.88,68.73,943.76
53766.7,41284,85351.6,23856.6,-26.24,6.24,-15.66,153.22
38998.7,33418,76480.3,20645,32,23.92,40.89,214.32
33674.8,22811,96747.6,27879.3,20.48,57.2,41.76,372.24
52292.5,42146,81313.6,33247.8,11.52,70.72,73.08,361.9
76335.8,61578,81242.4,36421.8,26.24,74.88,33.93,322.42
66713.6,49131,88989.5,42470.5,37.12,66.56,25.23,400.44
81319.6,64343,82827.3,58379.4,31.36,71.76,101.79,552.72
13220.8,8367,103554,35981.9,7.68,63.44,57.42,319.6
49765.8,39773,82001.6,30733,8.96,32.24,33.93,357.2
24013.9,17628,89277.1,32249.4,12.8,52,51.33,172.02
47108,37830,81609.1,26788.3,5.12,27.04,43.5,340.28
77838.6,63595,80214.3,32242.1,2.56,47.84,42.63,356.26
21173,16129,86031.1,32001.8,18.56,41.6,11.31,252.86
87468.4,65717,87227.5,60715.2,19.84,106.08,84.39,687.14
67840.1,54220,81998.7,28293.2,14.72,78,39.15,349.68
44494,36940,78937.6,24431.7,14.08,23.92,12.18,236.88
53902,40726,86738.7,33667.9,17.92,64.48,23.49,424.88
72624.7,57664,82539.1,38160.7,33.92,72.8,59.16,355.32
33731,26916,82129.5,42333.2,22.4,62.4,46.11,430.52
31225.3,24789,82552,27245.9,10.24,33.28,-4.35,194.58
24801,19086,85159.7,32142.2,24.96,34.32,23.49,250.04
18298.6,12419,96562.9,33612.8,23.68,68.64,25.23,246.28
36571.1,25469,94103.5,38187.8,11.52,76.96,44.37,296.1
22670.8,17621,84317.1,28439.8,6.4,49.92,38.28,338.4
55072.9,42297,85331.3,36473.8,-10.88,17.68,50.46,247.22
42600.6,32291,86459.8,36092.2,10.24,69.68,53.07,358.14
38158.7,30459,82102.7,27869.9,22.4,52,-2.61,344.98
46239.5,39114,77474.8,18730.4,14.08,83.2,14.79,200.22
60638.8,49761,79862.2,40822.1,26.88,74.88,13.05,316.78
35385,27573,84103.7,24158.2,23.04,38.48,-8.7,223.72
41893.3,34457,79679.6,19066.3,5.12,9.36,-1.74,160.74
47565.8,37573,82965.8,33621.1,6.4,35.36,7.83,229.36
51366,41042,82021.4,35404.7,3.84,39.52,6.96,335.58
37609.3,30988,79539.3,28199.6,-8.96,45.76,56.55,376.94
35586.6,28847,80847.3,17815.2,8.96,24.96,17.4,165.44
21418.3,13764,101981,27998.9,8.32,66.56,36.54,235.94
37839.5,31531,78647.9,21835.8,17.28,62.4,6.96,246.28
29937.6,23252,84379.4,32889,19.2,56.16,52.2,387.28
