FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
18331.3,13212,90929.6,24718.7,8.32,13.52,60.03,221.84
68616.2,40833,110127,52543.9,29.44,73.84,27.84,550.84
29594,25576,75831.8,18153.2,5.12,16.64,47.85,168.26
77139.7,49869,101374,37667.8,31.36,53.04,31.32,454.02
41779.9,28189,97133.2,30650.9,33.28,54.08,33.93,274.48
78193.1,44678,114698,53630.7,37.12,123.76,88.74,663.64
12348.8,9061,89316.1,37595,32.64,57.2,27.84,123.14
69785.5,55805,81954.4,38566.3,19.2,165.36,68.73,369.42
57358.6,30385,123714,60988.7,51.2,99.84,39.15,462.48
32652.5,22983,93108.5,25688,-4.48,36.4,22.62,254.74
66901,53567,81849.3,43540.6,10.88,33.28,35.67,431.46
27447.8,21000,85658.2,27178.3,7.68,27.04,10.44,224.66
102327,59286,113115,93017.6,50.56,148.72,102.66,1139.28
39333.8,28019,92001.2,34019.4,38.4,89.44,14.79,438.98
46785.5,38425,79795.3,22204,11.52,47.84,31.32,246.28
58594.2,46553,82487.3,29277,1.92,18.72,12.18,246.28
72934.7,57989,82426.8,38350,30.08,108.16,13.05,427.7
98339.6,77735,82907.1,70594.2,22.4,118.56,135.72,702.18
43953.8,34950,82419.4,30590.6,-11.52,42.64,26.1,531.1
30989.3,24477,82972.3,26655.2,20.48,44.72,21.75,241.58
50664.6,38888,85382.5,27595.4,19.2,61.36,12.18,316.78
34707.1,24413,93170.3,39977.6,27.52,73.84,54.81,375.06
47725.4,39851,78485.7,23169.1,2.56,56.16,26.97,206.8
41900.9,32453,84615.2,40914.6,17.28,76.96,1.74,323.36
40635.8,27552,96657.6,23517.5,11.52,48.88,50.46,261.32
43742.2,35001,81903,19929.5,-7.04,13.52,-1.74,181.42
53884.3,44018,80225.4,28314,9.6,71.76,30.45,276.36
46730.9,29374,104261,14436.2,19.84,58.24,33.93,266.02
46332.7,34764,87345,35744.8,8.32,73.84,49.59,331.82
63976.9,49227,85172.6,35389.1,23.68,75.92,49.59,401.38
74884.3,41400,118542,95190.2,40.96,208,141.81,1277.46
60083.5,47278,83286.8,32065.3,23.04,58.24,29.58,198.34
53935.6,43720,80849.1,30278.6,14.72,70.72,47.85,435.22
31530.2,20528,100661,34880.6,10.88,62.4,-2.61,350.62
52869.6,45529,76102.3,34384.5,21.12,48.88,5.22,1911.96
52595.8,39665,86900.7,28129.9,-5.76,56.16,28.71,1150.56
38005.8,32038,77743.6,39038.5,8.96,41.6,13.92,349.68
46419.2,37979,80100.4,24353.7,6.4,10.4,-18.27,201.16
45697.7,35894,83435.8,41207.9,-3.84,54.08,50.46,405.14
76802.9,58733,85698.9,31228.1,-25.6,16.64,53.94,305.5
33088.4,22099,98125.9,31552.6,7.04,75.92,30.45,188.94
68241.6,47758,93644.7,65984.9,44.8,120.64,55.68,672.1
61141.1,49365,81169.7,30049.8,21.12,36.4,41.76,202.1
36917.2,30605,79052.5,20807.3,8.32,64.48,35.67,277.3
57088.1,44853,83413,31957.1,10.88,50.96,55.68,301.74
53279.5,39954,87393.7,50072.9,-2.56,60.32,52.2,411.72
74973.4,58280,84307.7,49264.8,32,100.88,73.95,553.66
45847.2,29550,101680,73796.3,38.4,127.92,112.23,581.86
145896,86818,110132,71128.7,48,175.76,85.26,923.08
35003.6,26943,85142.7,24314.2,18.56,44.72,11.31,237.82
37415.3,29467,83213.4,27084.7,26.88,56.16,21.75,240.64
28834.7,22372,84467.6,26748.8,21.12,40.56,-5.22,206.8
41253.2,33196,81442.7,19370,0.64,95.68,36.54,164.5
39660.6,31729,81918.7,28488.7,12.8,57.2,55.68,302.68
41250.7,31192,86669.9,34043.4,-3.84,37.44,2.61,264.14
18286.8,16222,73877.7,22343.4,-2.56,21.84,0.87,165.44
49325.6,39726,81372.5,25523.7,23.68,60.32,46.11,942.82
28383.6,16402,113410,17647.8,20.48,60.32,45.24,142.88
59908.8,44222,88783.5,37858.1,-8.32,20.8,38.28,339.34
17503.9,12357,92833,36982.4,18.56,56.16,33.93,189.88
59349.4,44196,88006.1,53179.4,5.76,56.16,46.98,400.44
39288.5,33206,77540.5,18549.4,10.24,9.36,12.18,120.32
38246.9,30428,82376.4,24708.3,14.08,22.88,35.67,244.4
22391,18582,78969.9,20264.4,-8.96,62.4,46.98,207.74
43633.8,31102,91942.1,45507.3,13.44,78,95.7,1094.16
78072.1,59495,85999.4,29350.9,37.12,71.76,78.3,360.02
