FSC-A,FSC-H,FSC-W,SSC-A,APC-A,GFP-A,PE-Texas Red-A,Pacific Blue-A
35331.2,25966,89173.1,21507.2,7.68,42.64,23.49,235
48602.4,38249,83275.6,24384.9,-20.48,24.96,21.75,205.86
41054.2,23340,115275,28120.6,14.72,126.88,3.48,313.02
54380.8,42636,83588.9,27693.1,16.64,38.48,13.05,269.78
34765.9,27873,81742.9,24301.7,-4.48,16.64,47.85,242.52
44675.4,37277,78543,24701,11.52,43.68,-2.61,272.6
52989.7,43193,80400.4,22550.3,1.92,68.64,-7.83,362.84
22720.3,16110,92427,32275.4,3.84,11.44,23.49,223.72
56189.3,45308,81275.3,26654.2,26.88,71.76,25.23,234.06
36162.8,29592,80088.1,41805.9,11.52,100.88,41.76,277.3
56371.6,45065,81978.6,31982.1,-7.68,46.8,26.1,290.46
29455.4,23568,81907.3,23781.7,-5.76,46.8,7.83,180.48
68271.8,55869,80084.9,39254.8,12.16,138.32,37.41,335.58
33432.8,25325,86517.5,24623,8.32,49.92,14.79,246.28
55271.2,42980,84277.6,26345.3,2.56,66.56,-0.87,313.02
50584.8,36760,90183,35968.4,12.8,48.88,39.15,620.4
18167.5,14572,81706.5,30179.8,10.88,48.88,0,250.04
81761.4,61053,87765,72209.3,26.24,176.8,134.85,1034
48610.8,38420,82919.2,26578.2,14.72,41.6,10.44,215.26
33400.9,26737,81870.2,21973.1,26.88,36.4,14.79,227.48
36321.6,27973,85095.4,26410.8,11.52,8.32,-12.18,250.04
33914.2,27369,81208.6,23546.6,18.56,46.8,17.4,234.06
98369.9,76082,84734.5,60078.7,20.48,141.44,51.33,1104.5
84298.2,51646,106970,79709.8,5.76,88.4,105.27,819.68
55960.8,39541,92750.5,32990.9,7.04,38.48,4.35,300.8
19299.8,16225,77955.9,25347.9,5.12,1.04,-9.57,210.56
40923.1,25309,105968,32294.1,32,102.96,49.59,471.88
85319.6,50931,109786,67713.4,53.76,160.16,92.22,836.6
20312,13812,96377.8,44171.9,35.2,84.24,24.36,288.58
36247.7,27853,85288,27044.2,33.28,57.2,67.86,530.16
38713.1,29155,87021.1,22419.3,38.4,56.16,23.49,282.94
62307.8,43527,93813.2,42956.2,32,86.32,34.8,361.9
57209,42093,89070.7,50805,10.88,29.12,14.79,360.02
113288,63152,117565,71024.7,28.16,82.16,75.69,737.9
21381.4,16301,85960.9,26176.8,1.92,34.32,12.18,141
43075.2,33725,83705.8,26697.8,7.04,44.72,19.14,271.66
136547,96557,92678.4,70288.4,34.56,164.32,23.49,1381.8
31666.3,24853,83502.3,38180.5,10.24,111.28,42.63,297.04
67336.9,51132,86305.9,33970.6,15.36,115.44,47.85,589.38
42795.5,34510,81270.5,27613,-15.36,42.64,6.09,251.92
46226.9,33919,89316.5,62487.4,-0.64,85.28,47.85,474.7
102290,63641,105336,83007.6,13.44,128.96,53.94,928.72
7817.04,6228,82257.1,26592.8,8.96,43.68,20.01,113.74
56175.8,30957,118924,91009.4,24.32,135.2,73.08,630.74
38845.8,31811,80028.9,23560.2,8.96,41.6,38.28,284.82
93289.6,73031,83715.5,45170.3,23.04,75.92,17.4,572.46
57670.2,45601,82881.4,44505.8,-14.08,65.52,5.22,622.28
46096.7,34576,87372.5,42433,10.24,40.56,33.06,286.7
24267.6,17813,89283.2,33031.4,19.2,39.52,37.41,219.96
56980.6,48919,76335.9,50538.8,7.04,84.24,23.49,2333.08
101489,64108,103749,83473.5,49.28,142.48,70.47,2162.94
61829,45693,88679.4,27059.8,29.44,82.16,25.23,297.04
39574.1,26538,97728.8,42218.8,16,74.88,12.18,493.5
35707.6,22375,104587,29448.6,-9.6,28.08,-4.35,278.24
47884.2,39912,78626.5,24368.2,38.4,56.16,26.97,246.28
38097.4,25185,99136.3,32946.2,0.64,34.32,33.06,300.8
45303.7,36680,80944,24639.7,26.24,132.08,40.89,263.2
40689.6,33892,78680.3,36466.6,17.92,75.92,62.64,356.26
50750.3,37934,87677.8,29720.1,34.56,86.32,33.06,332.76
23826.6,14966,104337,35855,28.8,76.96,36.54,203.04
59341,46341,83920.7,27332.2,7.04,50.96,20.88,250.04
44096.6,36009,80255.4,29117.9,-5.12,40.56,0,188.94
37141.4,28605,85093.6,29527.7,-7.04,23.92,25.23,267.9
49507.1,39477,82187,33724.1,1.28,30.16,24.36,215.26
51299.6,44325,75848.2,30486.6,-2.56,28.08,12.18,391.98
18770.6,12249,100429,34572.7,8.32,23.92,42.63,239.7
69760.3,36012,126952,66074.3,55.04,209.04,59.16,632.62
61080.6,32504,123153,46949.8,37.12,39.52,16.53,458.72
62498.5,50318,81400.4,35717.8,28.8,45.76,44.37,415.48
92733.5,65438,92872.4,71183.8,40.32,127.92,25.23,775.5
25426.8,20983,79415.3,38120.2,21.76,38.48,10.44,261.32
43498.6,36319,78491.2,22916.4,24.96,60.32,15.66,210.56
90430.2,46684,126948,63447.3,58.24,124.8,63.51,606.3
34022.5,26513,84098.4,35363.1,32,83.2,29.58,255.68
55935.6,32353,113306,57407,62.08,160.16,66.12,642.96
60451.4,45745,86605,31071,-6.4,41.6,41.76,265.08
45372.6,32589,91243.6,39092.6,0,55.12,40.02,282
34299.7,25913,86746.7,27904.2,-11.52,37.44,0,165.44
9964.92,5808,112442,29998.8,3.84,19.76,9.57,90.24
61958.4,48910,83020,46932.1,31.36,111.28,80.04,407.96
26242.4,19125,89925.5,40405,14.08,43.68,33.06,351.56
107878,69752,101357,74493.1,8.32,157.04,131.37,644.84
39209.5,32264,79644,23516.5,-3.84,21.84,76.56,157.92
50816.6,39059,85263.8,30197.4,30.08,73.84,26.97,295.16
82346.9,66828,80754.8,34556.1,19.2,74.88,39.15,321.48
59181.4,47616,81453.9,26514.8,11.52,46.8,25.23,220.9
76515.6,52982,94645.8,45195.3,-5.12,73.84,9.57,334.64
25341.1,16201,102509,39247.5,4.48,20.8,16.53,342.16
70444.1,40035,115315,43504.2,32,73.84,-5.22,458.72
41603.5,30650,88956.9,39011.4,29.44,38.48,21.75,296.1
24984.1,14462,113218,41726.9,30.08,74.88,10.44,309.26
26276.9,22262,77355.2,36811.8,14.72,44.72,61.77,343.1
39806.8,28507,91513.5,35195.7,8.96,50.96,22.62,245.34
38624.9,31442,80507.6,22181.1,13.44,39.52,20.01,200.22
56877.2,44972,82885.1,35671,-15.36,42.64,64.38,314.9
46281.5,35460,85535.9,28077.9,20.48,30.16,32.19,188.94
54031.3,41865,84581.3,36795.2,32,57.2,46.11,263.2
46953.5,35165,87505.9,43143.4,24.96,53.04,15.66,317.72
74605.4,46652,104805,104457,71.68,159.12,40.02,1614.92
31837.7,21438,97327.8,50684.4,19.2,69.68,19.14,540.5
22258.3,13672,106694,43950.4,46.72,78,34.8,535.8
24515.4,18280,87890.6,35346.5,25.6,29.12,23.49,396.68
43832.9,34661,82877.9,20612.8,-3.2,-23.92,36.54,152.28
53128.3,40668,85615.6,42359.2,0.64,105.04,34.8,484.1
34141.8,25102,89137,30368,24.32,80.08,54.81,277.3
58506,48287,79405.4,22151,14.72,66.56,79.17,259.44
51351.7,30883,108972,56135,33.92,100.88,55.68,373.18
110793,73636,98605.4,71903.5,28.16,116.48,37.41,1459.82
61530,31929,126294,86546.7,30.72,134.16,73.95,829.08
71014.4,54807,84916.2,34233.7,-14.08,35.36,0.87,338.4
19175.5,12969,96899.3,33951.8,3.2,44.72,-9.57,221.84
73995.6,61248,79176.1,40599.5,3.84,31.2,0,503.84
32478.6,25484,83523.7,40035.8,30.08,56.16,23.49,321.48
33899.9,25148,88343.5,26278.7,30.72,54.08,11.31,290.46
31830.1,22736,91749.6,43535.4,21.76,81.12,9.57,284.82
35831,23467,100065,37875.8,5.76,57.2,36.54,285.76
41244.8,29491,91655.8,35119.8,2.56,91.52,42.63,271.66
38169.6,26154,95644.4,49541.4,-19.84,45.76,55.68,321.48
59402.3,50644,76869.7,38985.4,22.4,61.36,49.59,314.9
46585.6,35165,86820.2,44121,32.64,57.2,75.69,514.18
