"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
429046,245091,127,274158,174826,124,968097,643312,134,48,78,0,76,91,0,1352,916,0,-442,277,0,0
331027,211056,117,228175,153936,120,383950,271056,120,2691,2273,45,2275,1800,39,519,391,0,337212,241263,110,0.00100598
490349,270131,130,198048,142052,119,240015,147038,129,16916,12483,86,15026,11147,81,286,295,0,-1377,0,0,0.00100598
586684,309529,154,218477,143079,154,291469,183802,154,2432,1600,35,1673,1123,20,654,414,0,248287,163645,119,0.00100598
483736,295365,133,215352,142215,124,270069,185216,125,1249,1135,18,1015,820,0,373,402,0,162979,113788,113,0.00100598
388671,244503,133,198690,143394,121,375137,261423,125,2313,1834,41,1799,1476,34,591,420,0,303898,216450,112,0.00201196
356954,209335,124,290083,184804,131,403204,266244,125,1971,1595,32,1633,1393,25,556,464,0,240136,160830,109,0.00704186
388565,233465,136,149823,106925,120,256079,166972,126,2105,1635,32,1425,1109,12,108,336,0,241410,164566,113,0.00704186
456931,269904,120,239155,167534,119,303077,195270,123,1334,1329,24,1051,984,0,244,370,0,197219,127443,111,0.00704186
454577,276126,122,205693,136627,124,317600,212267,122,2210,1845,37,1718,1537,30,188,361,0,305408,208771,111,0.00704186
443856,259466,124,245338,155526,123,377056,252001,126,174,110,0,184,119,0,482,502,0,-308,765,0,0.00804784
416964,265018,139,169857,119021,120,312135,221432,123,1738,1487,27,1323,1024,9,261,407,0,217066,157587,109,0.00905382
575994,327091,140,213257,134140,134,345987,230806,131,1882,1563,29,1415,1282,17,321,404,0,225702,155557,116,0.00905382
421227,245846,148,380522,237208,148,465232,294596,148,14126,10343,83,13238,10183,80,613,433,0,10006,2346,148,0.0100598
455285,290665,129,195518,137978,118,319162,229994,121,1828,1545,31,1412,1226,18,378,402,0,227229,165776,109,0.0110658
477126,257231,126,294097,191084,138,488566,316962,129,2311,1734,41,1920,1625,32,744,522,0,282089,189319,113,0.0130777
539259,283101,134,256676,160717,129,470819,284433,132,2784,2092,44,2319,1921,43,403,404,0,335785,210231,117,0.0130777
606991,318651,135,349657,225050,133,434824,253661,138,2539,1870,42,1848,1363,32,599,379,0,303637,183276,124,0.0130777
495439,273067,137,256040,157543,130,418475,274518,132,2517,1993,42,2133,1595,34,728,484,0,310846,208772,119,0.0130777
368868,258959,112,162461,114124,117,276956,201295,116,1594,1490,30,1150,1153,16,404,460,0,237004,173287,106,0.0140837
543627,284212,131,210617,129780,125,465472,288152,129,2752,2273,45,2173,1784,41,600,438,0,383795,242968,118,0.0140837
533233,271592,135,206816,124092,130,443002,267884,130,2474,1972,43,1786,1456,31,705,484,0,330955,205416,118,0.0140837
405848,264199,123,145818,103837,117,329976,234948,119,8521,6917,66,8363,7028,66,271,348,0,-2939,0,0,0.0140837
344746,235145,125,156215,109814,116,307324,226407,119,1368,1156,16,990,931,0,353,444,0,163138,121831,105,0.0150897
550875,287684,133,330968,200873,135,522418,325176,135,1917,1605,29,1406,1095,19,745,446,0,227955,144110,117,0.0160957
439626,229919,131,243335,153936,129,397736,248152,132,2100,1724,35,1739,1428,26,431,455,0,257155,165078,118,0.0160957
343457,171829,136,539330,252256,142,13510,7033,73,201,190,0,204,161,0,25,91,0,13797,6823,77,0.0160957
268015,166785,134,187436,118945,120,24686,13922,79,320,229,0,230,205,0,40,55,0,25928,14719,79,0.0171017
446939,288224,126,236167,164866,122,354071,242389,124,2292,1951,36,1612,1406,24,484,397,0,261366,185362,111,0.0171017
480437,309695,123,174276,124707,122,-110,192,0,71,100,0,91,68,0,158,69,0,-53,68,0,0.0181076
430073,242302,126,248118,168796,122,370970,243043,127,2529,2008,40,1886,1431,32,527,439,0,299477,201303,113,0.0181076
507498,268417,129,238706,157134,124,369014,234622,130,25658,19378,104,25017,19609,94,470,411,0,-1376,52,0,0.0181076
446362,295245,118,163595,117087,119,-506,653,0,2492,2179,41,2078,1849,37,144,104,0,306994,230002,109,0.0181076
553638,294477,137,204963,126897,128,427454,269380,133,1944,1602,31,1513,1213,18,519,458,0,221947,145415,115,0.0201196
