"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
435861,224301,139,355461,209407,136,131,55,0,16639,12334,86,15817,11454,85,4359,2615,45,137,103,0,0.00100601
571397,333785,130,271920,179753,128,-58,69,0,7198,5578,64,6931,5394,65,3265,2035,35,141,128,0,0.00100601
494696,309993,125,184119,118126,126,52,88,0,6788,5803,60,6246,5561,59,3117,2143,35,557,529,0,0.00100601
391313,226155,125,247749,176365,119,63,94,0,7676,6291,63,6902,5842,62,1890,1273,19,135,79,0,0.00201202
379805,237409,142,260656,176221,142,133,87,0,1806,1188,19,1366,836,0,3137,2044,31,147039,108414,109,0.00201202
416709,264946,139,174839,124847,120,37,75,0,8206,6788,66,7910,6867,63,2761,1801,30,399,337,0,0.00301802
513888,252206,132,424665,247629,132,132,103,0,45,150,0,184,260,0,2571,1487,34,150,131,0,0.00402403
427056,263360,119,214046,154828,117,-1719,0,0,4566,3839,53,4522,3926,53,8631,5899,52,-1057,0,0,0.00503004
489553,302178,124,191068,129650,122,-1536,0,0,1196,904,0,919,763,0,3723,2311,38,117560,82103,111,0.00503004
505390,281045,131,297452,193412,126,-603,0,0,16585,12764,84,15966,12763,81,4641,2947,44,-375,416,0,0.00503004
327581,224239,129,133087,100372,116,32,110,0,8551,7560,62,8530,7397,63,3308,2511,35,41,66,0,0.00503004
468153,331232,120,194629,146618,117,-455,5,0,6856,5752,61,6658,5734,59,2811,2015,32,-870,0,0,0.00603605
437346,283022,122,235928,161467,126,3,57,0,6235,4912,62,5774,4500,61,1855,1251,19,171,116,0,0.00704206
506845,300051,125,210810,141492,126,63,69,0,1013,727,0,1000,710,0,2015,1249,20,106171,70941,115,0.00905407
433492,253172,125,193127,136409,118,-24,108,0,12351,9781,73,11695,9427,74,3183,2166,34,20,167,0,0.00905407
515141,296268,133,335323,203906,129,116,99,0,3476,2780,51,3256,2577,46,4947,2998,45,-553,0,0,0.00905407
404506,242644,120,221528,149954,124,27,54,0,8917,7405,67,8916,7757,66,3081,2158,34,-451,51,0,0.0100601
418694,255667,121,303104,195715,123,-5,77,0,458,462,0,454,322,0,2901,1738,33,52,78,0,0.0110661
512763,297570,130,270841,176196,123,104,96,0,11658,8616,78,11204,8308,78,2538,1515,31,150,129,0,0.0150901
451382,272346,131,246296,160850,124,98,115,0,6619,4735,68,6427,5048,65,3151,1953,37,125,85,0,0.0150901
509499,313781,122,216655,146954,120,46,109,0,6857,5585,64,6519,5236,62,3417,2373,36,-70,90,0,0.0150901
476969,283169,122,237294,154912,123,-4,74,0,8833,6630,69,8833,6849,68,3714,2443,38,604,510,0,0.0150901
420259,269843,121,167938,123990,119,127,65,0,5995,5238,59,5797,4768,59,3385,2387,36,67,105,0,0.0150901
387094,240778,116,189585,131758,115,-76,80,0,5967,4842,59,5546,4533,60,2608,1768,28,423,454,0,0.0160961
510434,272835,127,190341,117036,123,-2939,0,0,18914,13901,86,17813,12900,85,5340,3233,48,4320,4671,35,0.0160961
548020,307172,140,170920,112070,124,-1121,0,0,4407,3488,56,4009,3235,54,3681,2231,40,-357,0,0,0.0160961
374562,235261,133,167982,119746,120,-1069,0,0,8933,7610,65,8557,7347,67,2594,1711,28,-235,35,0,0.0160961
441416,299982,138,106748,76357,119,-575,0,0,8471,7006,65,7753,6740,63,1186,958,0,-187,27,0,0.0160961
511444,278532,131,245362,162263,124,-315,59,0,7593,6119,68,6967,5252,66,1536,926,0,-11,67,0,0.0171021
249479,145569,142,338899,171283,142,-129,99,0,-41,103,0,47,63,0,252,117,0,53,60,0,0.0171021
336294,230735,119,173457,127759,115,-105,26,0,5269,4576,54,4781,4543,51,3787,2772,37,-586,29,0,0.0171021
460702,288923,124,238141,168184,120,63,97,0,7702,5997,68,6985,5396,65,2873,1894,32,-1549,0,0,0.0211262
494235,302287,128,216344,154648,120,60,51,0,7304,5642,66,6927,5581,63,2804,1819,30,-890,0,0,0.0211262
494696,294847,123,200143,135444,122,112,75,0,785,682,0,422,409,0,1646,1079,11,82084,56155,111,0.0211262
466942,249722,144,252041,154948,143,52,57,0,10934,8383,72,10925,9020,71,3171,2051,36,198,146,0,0.0221322
396928,283758,121,129839,95848,115,-83,68,0,3681,3215,47,3687,3370,47,1832,1360,20,206,90,0,0.0221322
