"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
511908,347516,114,230321,153178,105,993,930,0,-30,35,0,60,85,0,-41,79,0,9,43,0,1.37514
384469,293285,94,181059,139142,96,189,152,0,-17,28,0,20,91,0,2796,2198,26,43,50,0,1.37929
442939,277163,105,240008,151014,114,-76,22,0,0,46,0,-10,62,0,-54,67,0,38,76,0,1.40314
322944,190516,110,280587,179144,110,25,57,0,-33,76,0,70,81,0,162,110,0,22,67,0,1.40521
543798,315750,112,342158,232470,112,27,54,0,51,64,0,-61,29,0,61,84,0,-40,26,0,1.40521
401722,226031,115,365280,219836,115,0,45,0,35,59,0,8,69,0,-30,33,0,-54,52,0,1.40521
429011,253477,114,298316,189669,111,-25,47,0,16,69,0,9,37,0,26,59,0,-16,30,0,1.40625
355293,206235,111,318768,215456,111,131,125,0,6,39,0,-9,64,0,73,93,0,-80,42,0,1.40625
500708,349441,116,155193,107018,113,124121,87489,104,93,183,0,185,173,0,9,133,0,5970,17365,20,1.40729
381650,271033,103,209911,159995,92,-49,38,0,-85,75,0,27,70,0,-9,48,0,45,86,0,1.40832
576711,388745,117,233165,160661,107,-56,79,0,31,109,0,25,123,0,110,97,0,-113,11,0,1.40936
305623,192202,107,283916,197581,107,39,41,0,93,82,0,23,70,0,15,54,0,40,74,0,1.40936
374471,229034,111,399659,262407,104,-100,51,0,35,87,0,8,82,0,66,58,0,15,68,0,1.40936
482143,320113,114,285444,182773,107,-14,70,0,12,65,0,36,85,0,74,70,0,44,49,0,1.4104
615760,371232,125,360521,222720,122,93,88,0,-8,32,0,19,56,0,2,52,0,52,73,0,1.4104
530854,321894,108,236881,147926,108,157,85,0,100,76,0,33,87,0,2386,1698,27,37,51,0,1.41144
250406,164531,96,149749,107775,92,102,78,0,40,57,0,28,60,0,0,57,0,37,64,0,1.41247
503463,313877,119,324790,209651,110,137,108,0,-67,47,0,39,57,0,124,86,0,73,74,0,1.41351
473306,325343,113,220337,151702,113,90,56,0,29,69,0,1,60,0,3,64,0,11,46,0,1.41351
601698,382346,122,303196,186894,122,5,72,0,-30,62,0,41,65,0,3574,2410,35,45,62,0,1.41455
397932,255814,112,212372,142305,102,-595,0,0,-13,63,0,104,86,0,2421,2182,28,-111,13,0,1.41869
510873,336297,117,170206,119694,105,-23,49,0,-7,59,0,53,63,0,108,88,0,-117,54,0,1.41973
464531,316749,103,216682,140484,103,-90,15,0,16,73,0,12,60,0,-17,82,0,15,48,0,1.41973
584164,367102,115,299411,202119,111,86,102,0,-14,46,0,-1,49,0,49,60,0,-68,32,0,1.42077
305447,167491,99,357030,232706,105,133,110,0,110,162,0,49,75,0,53,111,0,82,106,0,1.42077
357354,238601,99,277534,192920,105,10,52,0,59,56,0,20,79,0,45,65,0,-25,43,0,1.42077
595410,356489,114,294126,179199,112,-3,51,0,-35,65,0,51,74,0,166,113,0,-108,44,0,1.42077
319605,191215,109,306088,208666,109,78,82,0,35,97,0,76,149,0,125,133,0,15,84,0,1.42181
237211,168787,91,263498,184131,94,43,69,0,69,86,0,35,58,0,-68,33,0,-111,55,0,1.42181
278370,180740,106,274735,190504,98,100,79,0,30,58,0,-24,28,0,29,45,0,72,87,0,1.42284
327734,180497,112,310136,184012,112,21,42,0,123,108,0,92,107,0,87,113,0,-27,63,0,1.42492
354202,286155,95,122155,97151,91,151142,121235,93,254,233,0,274,238,0,94,247,0,33798,29427,79,1.42595
368654,223118,114,243518,157140,108,-266,0,0,-17,53,0,-54,34,0,110,66,0,-125,30,0,1.42595
264855,176814,97,156161,112548,93,-66,77,0,23,55,0,27,82,0,-1,36,0,0,64,0,1.42699
316965,176270,103,268052,183045,98,30,77,0,107,117,0,-18,103,0,-5,68,0,125,106,0,1.42699
396518,279550,98,258577,167987,100,33,68,0,10,50,0,13,63,0,2878,1989,30,94,71,0,1.42803
495624,328044,117,227067,153437,107,-132,35,0,57,71,0,-58,33,0,-24,37,0,73,51,0,1.42907
396241,251036,107,305309,195171,105,182,102,0,-14,57,0,-54,71,0,2744,1894,32,-15,31,0,1.4301
358470,225241,113,275484,181001,113,-1,57,0,66,112,0,56,78,0,88,86,0,-23,33,0,1.4301
324383,216492,110,222907,160240,103,-36,51,0,31,63,0,98,86,0,14,73,0,20,60,0,1.43114
307806,220302,104,167107,124346,94,-1,60,0,0,44,0,36,72,0,-15,41,0,65,73,0,1.43425
297458,214867,93,133340,97157,90,-105,66,0,54,69,0,80,80,0,1,51,0,-6,29,0,1.43632
455406,245700,113,278410,174467,105,94,84,0,24,71,0,91,91,0,93,59,0,40,34,0,1.43632
290430,190582,99,214660,146643,99,174,181,0,-48,59,0,46,106,0,46,36,0,-78,45,0,1.43736
326944,221096,100,181815,128608,95,98,106,0,37,130,0,17,51,0,-10,36,0,88,57,0,1.4384
465530,304613,113,219653,147571,102,96,65,0,13,98,0,53,69,0,70,96,0,52,68,0,1.43944
391548,234903,111,244014,165099,101,230,141,0,46,79,0,-2,74,0,158,149,0,88,56,0,1.44047
336390,244406,104,114595,82157,92,169872,127407,94,679,642,0,402,390,0,76,192,0,73214,59371,82,1.44151
424101,255636,113,272580,180941,102,-462,0,0,0,78,0,-45,29,0,3838,2661,34,-127,7,0,1.44151
348846,259280,92,151297,115863,95,-334,0,0,5,79,0,0,42,0,2197,1621,22,-156,43,0,1.44151
379802,256021,101,194111,140969,98,-38,21,0,81,120,0,63,62,0,69,57,0,-110,31,0,1.44151
353760,231276,108,230543,154426,106,-8,54,0,-91,29,0,14,73,0,55,75,0,82,81,0,1.44358
420434,279311,102,279353,189937,103,62,56,0,99,88,0,-46,43,0,3318,2176,32,87,80,0,1.44358
345818,243220,97,147700,109021,93,183,122,0,-20,60,0,58,84,0,98,89,0,12,32,0,1.44462
472124,280993,111,140542,97363,105,215,166,0,59,86,0,75,79,0,2076,1388,21,90,56,0,1.44566
374346,285758,105,149374,112388,95,-5,81,0,-51,37,0,17,44,0,119,61,0,44,67,0,1.44566
549852,310020,115,284885,187698,109,-7,67,0,110,94,0,20,72,0,37,86,0,52,70,0,1.4467
405052,289443,108,112243,84455,96,62,71,0,36,53,0,-1,80,0,2425,1778,24,42,65,0,1.44773
492564,348815,101,241015,174232,103,67,53,0,67,86,0,-11,56,0,91,86,0,46,60,0,1.44773
402889,279657,102,156192,114239,95,53,92,0,16,63,0,-4,70,0,175,119,0,142,83,0,1.44773
374439,255139,107,202812,144988,107,207,142,0,-34,53,0,-28,37,0,81,95,0,72,56,0,1.44773
355942,240021,108,147264,109649,97,26,75,0,-26,33,0,13,69,0,-2,127,0,73,81,0,1.44981
479248,331113,111,183297,124999,102,86,53,0,-44,49,0,-7,67,0,69,63,0,11,82,0,1.45084
501845,294719,111,264523,180351,105,257,237,0,61,77,0,-11,21,0,3672,2400,34,77,78,0,1.45084
433093,303195,106,152327,108606,98,24,65,0,1,49,0,-21,87,0,17,71,0,-33,63,0,1.45084
579419,333815,122,248856,146666,113,291469,189153,112,340,368,0,355,347,0,194,227,0,55271,42202,94,1.45188
468938,285355,107,223552,146140,106,-44,60,0,63,93,0,38,89,0,78,66,0,-15,62,0,1.45292
333712,227512,96,158100,113948,96,96,78,0,34,85,0,-18,78,0,2097,1615,22,7,32,0,1.45499
436433,303657,100,139693,101730,97,-22,60,0,101,87,0,6,68,0,-72,29,0,12,66,0,1.45603
378781,261115,108,133836,98355,98,95,106,0,-43,62,0,32,57,0,2311,1791,23,34,48,0,1.45707
393697,252743,109,188392,132922,97,57,84,0,65,91,0,6,22,0,57,60,0,12,66,0,1.4581
473424,302894,115,211512,148938,103,20,68,0,73,95,0,-1,42,0,35,73,0,54,44,0,1.4581
496930,347982,113,161669,116854,99,66,76,0,34,51,0,93,71,0,2510,1899,25,-59,43,0,1.46018
437279,321839,102,158126,115818,97,-142,48,0,16,48,0,55,41,0,-62,67,0,-51,5,0,1.46225
607582,375103,118,296886,189721,119,117,80,0,35,78,0,55,86,0,67,105,0,116,58,0,1.46329
464527,340954,104,120143,90468,97,74,79,0,72,98,0,20,69,0,2857,2072,28,62,72,0,1.46329
470371,337061,104,143713,101839,102,-11,47,0,13,45,0,81,111,0,68,71,0,6,46,0,1.46433
477417,324134,108,255129,176478,105,34,56,0,5,42,0,99,97,0,42,64,0,11,44,0,1.4664
387198,294485,94,160410,125758,94,-4,58,0,91,113,0,25,82,0,-24,43,0,121,80,0,1.4664
549865,327958,110,244182,148358,115,74,84,0,-3,71,0,-1,68,0,68,81,0,53,78,0,1.4664
587068,343038,122,381880,239057,116,125,70,0,8,51,0,36,83,0,3261,2056,32,-24,51,0,1.46951
396610,295646,96,149647,106064,95,100,74,0,-56,27,0,9,63,0,16,59,0,-73,30,0,1.46951
250667,203931,98,121622,102801,88,145,121,0,8,58,0,-8,52,0,-50,42,0,-71,15,0,1.47055
563360,356898,119,256321,183565,108,52,63,0,39,78,0,13,108,0,4157,2781,36,23,61,0,1.47158
458736,321255,110,203404,138748,101,-33,67,0,-22,80,0,17,68,0,1872,1246,16,90,131,0,1.47262
438463,299760,99,149592,108672,100,125,119,0,97,82,0,3,62,0,35,51,0,86,81,0,1.47262
502121,349915,104,202715,134437,102,80,72,0,61,92,0,-76,4,0,42,59,0,1,62,0,1.47366
501255,349743,112,199568,137632,105,-56,47,0,14,89,0,-40,59,0,22,63,0,-117,9,0,1.51722
474420,318447,111,213220,153455,102,21,55,0,-17,44,0,-14,73,0,-106,22,0,61,67,0,1.53485
604849,404482,112,201775,130428,111,-49,33,0,13,75,0,-6,49,0,-60,36,0,39,67,0,1.53692
462482,320320,104,218237,151801,102,-60,41,0,91,92,0,56,116,0,-5,69,0,52,52,0,1.53796
621910,407542,108,305529,196784,110,60,73,0,1,48,0,-11,49,0,25,43,0,173,76,0,1.53796
498156,295184,120,386157,208107,114,111,97,0,68,80,0,3,72,0,-12,42,0,38,79,0,1.5421
489617,325206,113,160536,107838,98,279950,199758,104,759,827,0,657,496,0,342,313,0,107232,80716,93,1.55144
478621,331040,111,266226,182204,111,630,1182,10,47,88,0,68,56,0,98,79,0,976,332,0,1.55144
437728,318964,94,146359,111319,92,-700,0,0,-12,53,0,32,66,0,2797,2019,29,-310,0,0,1.55144
513133,332342,116,196520,134314,116,351,809,0,25,77,0,59,66,0,311,172,0,-227,17,0,1.55144
527131,317223,117,275615,181518,108,130,73,0,85,68,0,88,111,0,-42,57,0,-24,55,0,1.56388
562521,343790,123,286875,183145,118,168,206,0,67,91,0,67,52,0,249,192,0,64,82,0,1.57322
415402,315755,95,127690,98461,93,67,92,0,39,70,0,33,81,0,-37,46,0,117,93,0,1.57322
585150,365876,120,337693,230032,112,158,166,0,60,90,0,-13,36,0,-6,37,0,-47,45,0,1.60329
496505,349127,110,227816,166262,105,112,93,0,43,82,0,-54,33,0,115,80,0,58,66,0,1.6064
425142,292272,102,227205,161216,99,10153,9358,41,10,59,0,-3,43,0,-56,48,0,24,54,0,1.60848
395517,301568,95,121877,97319,92,103,60,0,27,69,0,44,57,0,74,55,0,20,36,0,1.60848
474208,345413,104,138599,103334,98,-78,40,0,32,77,0,31,75,0,1938,1411,18,-75,51,0,1.60951
602806,323452,118,336849,216527,112,113,86,0,74,80,0,89,121,0,6526,4034,46,46,53,0,1.61574
437632,255776,109,246275,162693,110,27,71,0,60,85,0,28,60,0,2470,1869,26,62,60,0,1.61574
610395,359128,116,361404,224380,110,81,88,0,18,86,0,42,65,0,20,39,0,58,44,0,1.61677
578538,355515,114,291215,208168,107,35,60,0,-69,66,0,20,95,0,7489,4957,47,26,59,0,1.61885
452067,304051,99,246455,169462,104,2,31,0,54,83,0,56,67,0,40,77,0,136,78,0,1.62092
433308,284773,102,184365,132405,99,196489,140383,100,376,288,0,222,312,0,162,253,0,36720,29128,93,1.62196
452813,313483,109,209164,146033,100,227,279,0,-68,4,0,109,87,0,-42,37,0,17,32,0,1.623
553211,355623,110,249033,170872,107,62,58,0,4,47,0,32,110,0,51,68,0,105,101,0,1.62403
451151,342674,96,150328,113006,97,17,44,0,2,51,0,21,42,0,-1,49,0,12,51,0,1.62403
378030,287892,94,154624,121009,93,30,45,0,13,38,0,41,96,0,11,36,0,-5,29,0,1.62507
457926,332278,111,200371,144474,111,107,68,0,76,69,0,9,59,0,4,44,0,-26,45,0,1.62611
460899,342944,100,99572,79492,92,100,146,0,-101,39,0,51,99,0,11,81,0,-2,45,0,1.62714
556918,359710,105,235844,162871,103,311,160,0,5,65,0,-12,54,0,34,76,0,-94,78,0,1.62714
518616,318755,101,275294,191381,102,194,115,0,-6,33,0,-17,88,0,47,65,0,-23,37,0,1.62714
360789,263041,88,190143,143609,91,-353,0,0,90,89,0,-2,55,0,30,74,0,-164,6,0,1.62714
578705,339767,100,231531,171810,102,-636,0,0,74,115,0,-45,34,0,33,65,0,-205,9,0,1.62714
441522,289326,111,187673,134224,98,2389,2512,23,-31,29,0,114,77,0,45,54,0,-47,48,0,1.62818
473747,314917,115,173945,122394,104,-48,32,0,0,56,0,18,43,0,95,101,0,52,65,0,1.62818
404915,289082,108,160588,122880,97,66,85,0,53,86,0,76,82,0,106,86,0,68,85,0,1.62922
482635,292542,112,268255,174161,104,48,68,0,-55,62,0,46,64,0,56,81,0,6,79,0,1.63544
598094,332305,123,355408,241989,111,86,56,0,62,65,0,40,67,0,362,308,0,189,96,0,1.63855
589412,331553,121,296316,193924,112,147,69,0,-21,47,0,23,112,0,38,90,0,117,134,0,1.64062
585421,353333,114,308941,203688,112,55,108,0,29,79,0,166,154,0,49,96,0,68,55,0,1.64062
318716,233133,104,189118,141000,95,145,137,0,31,48,0,70,112,0,-28,59,0,27,37,0,1.6427
451831,295840,103,177449,120522,100,131,61,0,54,71,0,37,58,0,3927,2958,34,-129,36,0,1.6427
525124,314711,113,301925,192306,105,42,57,0,3,52,0,9,48,0,-138,5,0,162,124,0,1.6427
411099,283977,110,290820,207003,110,436,382,0,10,73,0,82,84,0,-69,33,0,20,59,0,1.6427
489711,325241,103,239563,179708,98,-79,64,0,-25,65,0,48,111,0,-22,70,0,-25,30,0,1.64374
292291,224517,101,207205,172328,93,-115,51,0,-3,65,0,-2,66,0,71,193,0,9,55,0,1.64477
475371,324523,113,223877,152958,105,61,94,0,58,107,0,109,87,0,3525,2509,32,-5,43,0,1.64788
378551,270974,97,162823,119442,96,169005,127639,95,436,339,0,245,271,0,86,220,0,43093,35372,79,1.64788
463413,295322,107,235490,164212,101,-569,0,0,72,65,0,-5,64,0,21,83,0,-60,39,0,1.64892
421380,293083,97,268288,193075,101,-118,54,0,-7,43,0,-1,29,0,3845,2907,32,57,58,0,1.64996
612023,358512,108,378184,231759,108,130,107,0,118,123,0,46,86,0,5270,3329,42,38,72,0,1.651
293415,215091,103,175776,140287,103,-23,76,0,89,81,0,8,58,0,3097,2380,29,-3,57,0,1.651
525421,342441,115,192330,130191,101,95,61,0,58,98,0,8,49,0,-17,45,0,-53,52,0,1.651
516670,296835,107,424488,237964,111,782,723,0,139,77,0,73,70,0,49,59,0,83,58,0,1.651
536038,335214,116,251119,162191,103,134,97,0,61,80,0,62,71,0,-10,47,0,48,95,0,1.651
590548,376717,121,262438,188102,121,102,99,0,76,106,0,26,91,0,6219,4247,42,115,81,0,1.65307
270063,181189,103,206294,148783,98,107,51,0,68,98,0,21,60,0,68,107,0,99,74,0,1.65411
364620,264717,105,139703,103998,105,32,78,0,-7,47,0,-5,55,0,9,42,0,18,43,0,1.65618
467272,282031,107,416115,271183,115,105,112,0,66,89,0,51,78,0,6334,4135,44,148,102,0,1.65618
424443,293457,109,206723,149162,103,743,670,0,26,61,0,-20,34,0,2517,1825,25,-54,49,0,1.65722
321910,222845,101,168576,125022,96,108,96,0,49,77,0,5,43,0,-121,38,0,5,43,0,1.65929
429488,309634,105,119880,86664,108,54,69,0,59,86,0,21,68,0,61,70,0,55,58,0,1.65929
600915,365005,111,311864,184229,114,69,57,0,-78,38,0,18,69,0,22,92,0,72,69,0,1.65929
545864,369128,102,272003,186621,104,-58,41,0,-30,66,0,56,77,0,16,56,0,98,67,0,1.65929
514133,383277,105,140647,104813,100,32,95,0,-16,87,0,93,86,0,116,75,0,155,89,0,1.66137
534674,363393,117,251853,178023,107,127,90,0,-11,63,0,-14,40,0,1748,1194,15,26,39,0,1.6624
378681,220383,107,350584,228035,103,238,205,0,42,80,0,43,70,0,-34,67,0,57,109,0,1.66344
478403,330579,102,200944,136618,102,-1,44,0,120,93,0,-6,65,0,106,71,0,754,715,0,1.66344
268910,202817,94,123163,94069,88,40,77,0,6,64,0,-30,48,0,61,53,0,68,57,0,1.66448
400436,304356,101,118046,85329,95,-23,38,0,35,58,0,-8,49,0,72,56,0,14,60,0,1.66448
591398,372564,105,315241,210607,107,-2605,0,0,75,69,0,45,61,0,50,97,0,-864,0,0,1.66551
249653,221756,73,138609,114017,83,-279,0,0,-46,34,0,-30,55,0,22,62,0,-112,0,0,1.66551
471260,287601,95,238784,164935,95,363679,247167,103,1080,914,0,770,676,0,504,409,0,120526,89602,83,1.66655
