"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
337193,223738,127,292339,216506,118,110,74,0,-30,77,0,97,142,0,202,116,0,93,88,0,0
431086,284376,130,207150,145686,120,-12,81,0,13,98,0,63,50,0,-101,44,0,15,82,0,0
366590,228948,133,219368,154481,121,109,93,0,22,78,0,117,105,0,1566,1079,11,14,89,0,0.00102171
329654,246578,135,164547,126486,118,-82,62,0,128,99,0,-60,32,0,-11,35,0,80,56,0,0.00204342
438168,309538,141,181059,126402,141,98,108,0,132,98,0,19,74,0,-48,75,0,23,81,0,0.00204342
494609,283743,149,377912,244617,128,58,106,0,43,48,0,-8,55,0,26,67,0,160,64,0,0.00204342
223803,161328,131,213758,149519,131,-109,46,0,133,89,0,12,60,0,-184,15,0,40,49,0,0.00204342
451734,308785,120,273598,199594,122,28,68,0,-111,80,0,-42,65,0,3756,2703,38,31,77,0,0.00408685
417784,273368,142,225455,163109,142,51,69,0,-10,72,0,-37,49,0,5,63,0,-50,101,0,0.00408685
289255,239600,108,103454,84458,106,489,308,0,-95,70,0,80,100,0,2498,2057,28,49,63,0,0.00408685
407598,303558,138,131379,93304,138,136,112,0,-35,79,0,80,74,0,166,96,0,94,70,0,0.00408685
335696,214884,127,200930,139560,134,-134,32,0,100,113,0,161,95,0,3400,2525,35,38,124,0,0.00408685
303302,252955,110,106436,89678,105,138896,115265,109,195,221,0,159,205,0,215,303,0,25574,22817,61,0.00408685
404455,282526,125,239989,177954,116,-535,0,0,68,103,0,78,85,0,37,102,0,-165,48,0,0.00510856
358317,289325,119,94702,75317,105,-535,0,0,52,81,0,123,94,0,-12,38,0,-45,49,0,0.00510856
440865,281731,123,293183,199871,122,19,67,0,-51,54,0,24,55,0,124,121,0,59,66,0,0.00510856
351244,261202,126,177659,133581,113,-4,89,0,90,92,0,39,80,0,-38,136,0,-5,55,0,0.00510856
436857,303101,119,221101,162547,116,-94,67,0,-151,72,0,55,73,0,0,64,0,107,73,0,0.00715198
306984,257553,107,90167,77212,108,28,47,0,-137,33,0,-2,73,0,-92,74,0,49,66,0,0.00715198
473274,312244,144,249914,184594,125,-71,110,0,-65,72,0,-4,76,0,-62,89,0,111,89,0,0.00817369
357767,247248,123,196006,146393,119,-114,50,0,12,85,0,61,95,0,84,59,0,-81,54,0,0.00817369
415171,295585,140,202985,144314,140,27,37,0,138,114,0,183,159,0,74,101,0,-81,45,0,0.00817369
396776,290410,127,129639,97437,117,68,80,0,-67,65,0,-83,36,0,-29,66,0,90,65,0,0.00817369
385995,267527,115,232741,175284,116,-55,77,0,-6,52,0,-54,50,0,-112,73,0,102,111,0,0.0091954
378715,274861,123,143702,108648,114,31,118,0,-63,44,0,-61,52,0,3618,2766,36,-122,18,0,0.0091954
382265,270470,141,124743,99928,118,-50,65,0,3,72,0,24,126,0,1819,1133,19,44,59,0,0.0091954
333552,274587,123,147126,120605,111,31,53,0,-47,59,0,-15,63,0,256,91,0,11,64,0,0.0102171
537653,331770,127,352048,246134,129,40,97,0,-15,80,0,92,79,0,3154,1990,36,70,71,0,0.0102171
374015,251341,120,330454,226030,121,1076,953,0,49,83,0,73,87,0,9,89,0,474,370,0,0.0102171
447856,303565,126,209742,148793,120,75,126,0,-2,55,0,29,62,0,1844,1265,18,106,69,0,0.0102171
328272,227742,117,216067,158866,117,500,363,0,79,99,0,-49,41,0,27,60,0,40,47,0,0.0102171
359915,257137,130,207896,147835,127,2,73,0,8,99,0,28,63,0,2926,2141,31,157,71,0,0.0102171
500116,298017,135,283450,193675,125,10,111,0,99,99,0,54,81,0,56,79,0,0,80,0,0.0112388
419441,289058,125,194048,135900,121,-59,52,0,-84,62,0,-5,73,0,-45,87,0,-47,34,0,0.0112388
410412,300615,118,79213,63839,112,113,93,0,105,108,0,58,126,0,55,64,0,76,54,0,0.0112388
349700,271829,109,144824,115739,111,73,87,0,84,94,0,-41,33,0,85,69,0,-46,64,0,0.0112388
324263,220726,113,202068,146164,116,133,78,0,152,104,0,23,48,0,-31,101,0,53,97,0,0.0112388
424166,309061,122,185572,133418,118,44,80,0,-97,53,0,74,82,0,1900,1291,20,-9,58,0,0.0112388
441927,296952,137,207804,153092,123,-15,47,0,-70,66,0,-8,76,0,4158,2993,40,-59,63,0,0.0122605
315332,204315,117,284676,183241,125,55,68,0,-2,124,0,-90,28,0,169,111,0,27,59,0,0.0122605
315159,233676,111,153776,118821,107,-19,57,0,49,110,0,40,68,0,-60,78,0,2,99,0,0.0122605
415518,290681,118,206436,154775,114,-35,109,0,119,132,0,32,62,0,0,88,0,-69,50,0,0.0122605
402074,292595,127,151147,114285,114,61,96,0,18,71,0,74,82,0,2601,2003,30,-42,65,0,0.0122605
354794,238665,135,227310,171421,119,231,106,0,6,83,0,170,148,0,48,70,0,106,83,0,0.0122605
447378,322827,141,132038,99783,141,-19,51,0,-27,76,0,-48,53,0,1998,1451,23,-20,53,0,0.0132822
467412,272923,139,278957,190663,123,-3,91,0,-56,49,0,69,114,0,70,73,0,50,76,0,0.0132822
381092,284444,119,130644,99553,114,78,76,0,72,105,0,-12,91,0,-101,53,0,55,95,0,0.0132822
549735,347684,125,281579,193757,126,157,96,0,73,122,0,-138,21,0,3831,2518,40,-45,63,0,0.0132822
407020,259263,117,181317,123291,117,-38,44,0,82,109,0,164,107,0,-58,79,0,134,108,0,0.0132822
463495,321259,127,167267,125862,115,-4901,0,0,127,160,0,-120,50,0,124,85,0,-745,0,0,0.014304
421476,311024,114,183714,139479,117,-1747,0,0,14,60,0,-10,56,0,22,98,0,-93,44,0,0.014304
585155,306295,148,181719,131464,126,-717,0,0,162,119,0,-59,56,0,-14,98,0,134,182,0,0.0153257
464395,301969,132,158669,116127,120,-517,0,0,83,152,0,56,90,0,43,70,0,41,80,0,0.0153257
430279,289260,135,274218,201120,118,-145,30,0,62,76,0,-81,52,0,146,66,0,36,56,0,0.0153257
365213,273742,119,140592,108662,112,-38,55,0,58,90,0,26,84,0,93,68,0,-68,72,0,0.0153257
459714,306390,122,233294,165143,119,-120,31,0,-51,97,0,9,113,0,3984,2784,39,-93,98,0,0.0153257
497356,290475,127,354242,225920,130,238,188,0,-99,59,0,111,139,0,110,80,0,37,38,0,0.0153257
337361,242692,136,137858,110794,112,-1,61,0,-6,87,0,-14,137,0,79,62,0,150,102,0,0.0163474
348613,266301,122,119724,90748,113,168,160,0,-7,118,0,42,118,0,-68,52,0,1,86,0,0.0163474
501413,297806,149,393725,274839,128,41,85,0,92,131,0,-10,118,0,3170,2040,35,47,79,0,0.0163474
357592,282715,114,90691,73652,108,-60,61,0,69,107,0,-43,44,0,-19,42,0,-26,65,0,0.0163474
415708,301786,115,206917,161257,114,86,64,0,48,57,0,159,93,0,147,124,0,140,84,0,0.0163474
395724,285488,129,189547,139994,115,-125,65,0,48,72,0,71,105,0,76,105,0,94,73,0,0.0163474
413872,315210,111,162295,120226,117,26,89,0,1,55,0,-63,75,0,69,65,0,70,89,0,0.0163474
410654,256545,131,177180,120510,119,-68,40,0,113,82,0,75,112,0,116,126,0,149,112,0,0.0173691
317352,247714,114,94841,75033,109,-91,24,0,42,113,0,36,61,0,31,45,0,193,86,0,0.0173691
352799,253202,127,127493,100149,114,71,58,0,-35,82,0,76,79,0,143,69,0,84,81,0,0.0173691
537217,330468,134,309366,209910,126,-89,60,0,29,89,0,31,82,0,-37,77,0,-100,54,0,0.0173691
319527,258852,115,116368,97079,110,65,97,0,10,57,0,-19,47,0,1955,1635,24,-74,16,0,0.0183908
400753,298244,118,156666,122240,114,147,111,0,-43,56,0,-24,68,0,-84,60,0,-124,36,0,0.0183908
382084,251583,140,186615,134082,119,180,104,0,-53,51,0,25,46,0,130,93,0,96,77,0,0.0194125
392540,286501,118,125535,96991,113,69,76,0,-64,58,0,-61,63,0,4863,3551,41,-101,61,0,0.0194125
509956,334897,134,244371,168388,129,50,85,0,54,114,0,-12,45,0,103,58,0,112,47,0,0.0204342
514460,298021,169,289354,193244,149,179,115,0,87,68,0,59,125,0,-27,43,0,48,67,0,0.0204342
497747,332598,124,274858,203982,118,614,569,0,62,111,0,10,36,0,0,86,0,32,79,0,0.0214559
608540,325402,149,348416,205677,136,-93,51,0,84,145,0,1,107,0,148,91,0,-108,56,0,0.0214559
508078,328254,126,261782,178939,123,98,76,0,-51,32,0,-21,66,0,60,73,0,-28,50,0,0.0214559
365703,248443,130,62882,43702,117,98593,60245,119,184,243,0,165,135,0,-5,48,0,36105,24085,88,0.0224777
339349,248054,113,141315,108092,112,-336,26,0,35,124,0,-26,66,0,2414,1872,27,-69,58,0,0.0224777
413239,303713,116,206008,152241,121,-200,31,0,-85,73,0,30,125,0,3441,2494,35,-66,73,0,0.0234994
351419,201445,135,285917,198873,122,23,51,0,58,78,0,41,143,0,218,93,0,44,61,0,0.0255428
325387,244044,132,150216,111819,135,105,75,0,64,73,0,98,98,0,42,87,0,29,132,0,0.0255428
421096,289429,139,214732,153252,141,19,74,0,10,64,0,198,128,0,40,42,0,85,76,0,0.0255428
455952,314455,120,191536,142031,118,-26,52,0,33,126,0,100,125,0,3177,2269,35,155,114,0,0.0255428
263138,204668,107,129499,104860,110,39,80,0,-25,31,0,-104,57,0,137,80,0,3,46,0,0.0255428
485853,304071,124,365847,254405,123,83,64,0,137,133,0,70,71,0,28,58,0,-28,97,0,0.0255428
407925,280111,141,175098,130617,115,8160,1988,138,80,112,0,81,90,0,50,89,0,3135,773,0,0.0255428
356494,246809,119,223041,159327,118,-459,9,0,-71,67,0,101,95,0,32,66,0,-195,38,0,0.0265645
381482,280875,116,161237,124350,119,-507,0,0,109,105,0,151,89,0,50,109,0,-127,53,0,0.0265645
