"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
328344,218242,107,210076,151478,97,68,64,0,-1,67,0,-12,87,0,44,55,0,100,103,0,0
408616,304192,104,151612,119017,95,-97,37,0,84,99,0,-90,24,0,-40,28,0,42,51,0,0.000989651
635758,345526,120,242892,155857,114,104,59,0,7,46,0,110,140,0,5056,3004,44,24,71,0,0.000989651
479544,305374,109,194247,137246,100,-25,62,0,-54,66,0,77,84,0,3459,2336,33,0,62,0,0.000989651
573947,310955,125,417222,217712,119,407,389,0,73,95,0,97,90,0,4516,2863,39,86,72,0,0.0019793
471715,279059,113,260378,176688,102,73,90,0,-34,53,0,85,82,0,27,52,0,62,53,0,0.0019793
615025,340865,124,280692,187812,113,298,351,0,22,78,0,57,73,0,-28,71,0,20,58,0,0.0039586
371326,264536,93,187200,137907,97,55,40,0,47,70,0,52,90,0,2,105,0,-2,62,0,0.0039586
347115,268009,100,111563,85090,92,5,73,0,31,57,0,96,81,0,52,61,0,52,99,0,0.0079172
494880,321872,115,249283,169272,115,-6,55,0,2,70,0,60,56,0,46,97,0,107,113,0,0.0079172
576412,343399,124,222972,152967,110,88,110,0,72,110,0,-77,45,0,2132,1245,18,3,43,0,0.00890686
500987,295329,108,253518,171439,104,-60,42,0,2,48,0,68,101,0,13,56,0,85,62,0,0.00989651
490561,320151,101,296305,213000,104,-25,66,0,79,68,0,20,71,0,1705,1158,14,35,73,0,0.00989651
517351,315037,119,167229,110236,112,26,70,0,-39,28,0,-15,58,0,-77,35,0,105,79,0,0.0108862
374598,271205,104,124413,90259,95,1,61,0,20,48,0,44,80,0,-6,41,0,14,68,0,0.0128655
443617,319147,102,179865,126533,99,127695,93327,96,202,195,0,180,192,0,171,157,0,20071,16770,56,0.0128655
308414,250607,98,79712,64540,89,-7,48,0,-40,19,0,-4,82,0,1881,1531,18,-53,52,0,0.0148448
501626,309030,116,349098,231566,109,21,58,0,26,94,0,92,91,0,-140,42,0,-12,51,0,0.0158344
577370,303547,140,380160,164199,137,174508,125815,100,293,214,0,347,300,0,197,228,0,38908,32594,89,0.0188034
489374,307341,115,196008,135954,104,-543,0,0,-11,72,0,52,77,0,113,66,0,-38,31,0,0.019793
302190,187969,98,104123,87168,94,-47,35,0,-24,56,0,7,68,0,-106,26,0,46,71,0,0.0207827
350759,265027,95,121104,93511,93,-116,22,0,-55,52,0,8,79,0,1530,1259,14,57,60,0,0.0207827
541488,299865,110,175736,113526,107,1346,845,0,16,74,0,-44,62,0,155,93,0,59,56,0,0.0217723
368419,288545,104,126219,95589,94,518,452,0,-38,44,0,19,79,0,-76,30,0,6,53,0,0.0217723
512945,297831,116,273378,177473,117,133,72,0,60,105,0,-5,61,0,5590,3730,41,129,110,0,0.0217723
371892,258239,95,152332,112173,95,216,132,0,-4,69,0,32,50,0,29,102,0,52,45,0,0.0217723
523870,295446,118,267839,177715,118,65,81,0,15,47,0,78,81,0,56,43,0,30,72,0,0.0217723
362446,269505,100,142260,110440,93,170,186,0,44,63,0,33,59,0,-39,41,0,54,67,0,0.022762
431802,288801,104,227790,168819,98,5,44,0,96,73,0,-7,49,0,-1,41,0,75,61,0,0.022762
421600,260261,110,291329,202271,102,-197,0,0,30,60,0,39,88,0,75,62,0,27,73,0,0.0257309
398420,232410,103,233882,160793,100,-29,64,0,74,72,0,15,68,0,67,74,0,142,117,0,0.0257309
386068,247195,99,261345,178926,99,184,179,0,137,70,0,-4,73,0,15,68,0,1058,864,0,0.0257309
354867,226458,110,172131,123240,100,30,48,0,-50,65,0,29,70,0,86,91,0,30,70,0,0.0267206
637291,350286,116,333848,214935,115,212190,123705,114,54,85,0,46,72,0,46,147,0,1588,1058,8,0.0267206
399842,258321,103,203663,143434,102,70,47,0,-3,69,0,-28,75,0,47,96,0,104,75,0,0.0296895
584636,355468,113,262252,177090,110,20,29,0,-40,74,0,9,72,0,23,82,0,-40,50,0,0.0306792
311855,242633,93,155483,122125,91,37,50,0,15,65,0,29,70,0,-38,53,0,53,70,0,0.0306792
421401,289117,109,150193,105838,98,-84,35,0,-30,50,0,-11,61,0,-3,30,0,-25,50,0,0.0346378
422301,309787,104,137474,105404,95,13,84,0,75,84,0,83,110,0,88,91,0,72,52,0,0.0366171
503706,331855,111,215255,146535,102,-47,55,0,28,68,0,-2,81,0,31,33,0,35,54,0,0.0405757
425583,278571,97,247820,172554,98,97,83,0,5,65,0,63,83,0,5115,3667,39,-28,36,0,0.0405757
476459,314830,115,179834,127464,108,148,79,0,44,75,0,-15,34,0,1484,970,0,135,107,0,0.042555
449316,321555,99,220456,164855,98,71,92,0,52,66,0,-1,59,0,4025,2996,34,70,50,0,0.042555
472202,310053,105,226131,148268,105,84,75,0,14,36,0,-4,102,0,-32,49,0,5,61,0,0.0445343
477800,316914,109,218983,164467,102,187071,126055,103,158,230,0,154,202,0,108,186,0,30709,22625,89,0.0455239
280642,236926,92,84441,72319,86,2,43,0,12,66,0,-28,38,0,758,669,0,89,69,0,0.0465136
534501,317016,119,235088,148629,108,155,110,0,-51,57,0,0,46,0,37,59,0,44,98,0,0.0504722
