"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
26072.9,17065,100130,13584.9,10413,85499.1,23.78,1446.95,3546.21,70790.3,51.7,7281,-13.44,0,0.22286
36191.4,24054,98604.8,19437.3,14442,88204,40.18,1888.56,4377.83,77521.1,60.16,5615.1,24.64,27841.5,0.22286
14045.5,9803,93898.4,20441.8,15606,85843.4,1.64,46.01,67.08,33558.4,62.04,3810.6,6.16,10623.7,0.22286
17523.1,11717,98010.9,10137.7,7861,84516.2,-1.64,10.32,28.81,18510.7,31.96,6363,-2.24,0,0.223926
30826.6,19089,105833,28695.9,19481,96535.8,8.2,2761.03,6316.7,63707.5,87.42,6167.7,-5.6,0,0.223926
41564.6,23869,114122,20348.3,13904,95911,16.4,1595.3,3958.58,64889.8,103.4,4101.3,10.08,20643.8,0.223926
62154.4,34638,117598,34956.6,23514,97427.7,-11.48,2058.41,5168.17,67216,183.3,13161.6,34.16,43896.3,0.224992
15890,8075,128962,26598.3,18502,94214.1,12.3,3902.68,8855.85,74685,61.1,2484,11.2,13592.7,0.226059
13058.5,9122,93817.4,17069.9,12042,92899.5,22.14,1773.32,4244.53,76210.8,28.2,7394.4,-3.36,0,0.227125
38633,23007,110047,44571.9,28127,103853,58.22,6496.44,15017.8,70506.7,163.56,17872.2,14.56,19084.1,0.227125
33862.5,21235,104507,15044.5,10287,95845.1,18.04,1912.21,4925.65,73852.1,82.72,4983.3,-3.36,0,0.228191
53750.9,28323,124373,39159.1,18807,136456,25.42,9642.75,22549.2,84454.5,312.08,33353.1,38.64,40195.4,0.228191
33699.4,15592,141645,31031.3,12188,166858,-33.62,2548.61,6204.47,90762.5,147.58,10960.2,5.04,6232.1,0.229258
41565.3,19069,142851,37854.5,15469,160374,-4.92,3249.08,8208.7,80739.2,123.14,13581,-13.44,0,0.229258
26984.3,10232,172835,24631.2,8872,181946,7.38,4570.47,11069.5,100090,116.56,14923.8,6.16,7617.01,0.229258
20759.9,13436,101259,39792.1,16524,157820,37.72,2461.32,5949.48,114275,119.38,6799.5,16.8,22469.5,0.23139
20415.5,13315,100484,12106.5,9755,81333.7,29.52,927.51,2072.17,70037,71.44,3469.5,17.92,18641.4,0.23139
26429.2,17107,101249,16096.6,11039,95561.8,18.86,1237.97,2638.05,63866.7,58.28,5403.6,11.76,12233.4,0.233523
33614,14934,147511,20728,9966,136306,3.28,2133.23,4630.24,92345.5,91.18,12765.6,19.04,29709.7,0.234589
17244.5,11143,101421,19915.3,14635,89181.5,13.94,1808.15,4097.9,63027.4,74.26,3893.4,28,24466.8,0.236722
12469.1,7845,104165,24308.9,17157,92854.7,8.2,1093.92,2447.99,63112.3,78.02,7124.4,-3.36,0,0.237788
28249.9,13075,141597,29165.8,10323,185160,26.24,2087.22,4425.13,87720.9,94,5920.2,-3.92,0,0.237788
38797.5,26662,95365.4,15888.3,12470,83501,25.42,2110.01,4197.23,68036,96.82,4543.2,14,15819,0.237788
34407.1,20435,110345,22823.1,15243,98125.8,7.38,1751.82,4026.95,75597.3,94.94,5235.3,2.8,2912.71,0.238854
27343.4,14640,122403,27675,20708,87584.9,2.46,1214.75,2866.81,65349.3,61.1,4878,7.84,8563.37,0.238854
21595,7534,187848,34027.5,12519,178132,-0.82,3781.42,8699.76,98064.6,124.08,19993.5,-6.16,0,0.239921
25666.2,17158,98033.6,18597.6,15010,81200,18.86,808.4,1711.83,64960.3,47.94,3945.6,-10.64,0,0.242053
