"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
29580.6,14470,133973,47445.2,27978,111136,80.36,2371.02,5439.5,65289.9,147.58,7218.9,34.16,30252.8,0.244216
15935.5,10758,97076.5,28436,19214,96990.7,68.06,958.47,2335.33,75691.5,91.18,9211.5,34.72,39231.2,0.244216
32271.4,22762,92915.3,15062.6,12154,81219.5,-6.56,1122.3,2662.99,58038.5,91.18,3089.7,16.24,19351,0.246396
44599.8,21446,136291,33820.9,14794,149823,14.76,4795.36,8140.76,85856.6,171.08,10541.7,30991.5,78328.6,0.246396
37109.1,24311,100036,27356,20807,86163.5,4.1,3446.45,8157.1,66973.7,85.54,6516,-15.68,0,0.247486
33616.8,22673,97168.9,26577.8,20253,86002.3,31.16,1721.72,4031.25,68090.7,94,4374.9,236.88,61360.3,0.248577
33512.5,22443,97860.1,21396.3,16742,83755,41,1822.77,2177.09,129825,56.4,3119.4,17660.7,75166.5,0.248577
38124.8,24326,102711,18977.3,14018,88721.2,33.62,1183.36,2854.77,69215.8,80.84,5224.5,12.32,13920.8,0.250757
28406,17367,107193,16722.3,12379,88529.8,37.72,2023.15,4925.22,64776.1,76.14,2374.2,44.8,49762.9,0.250757
44172.1,26403,109641,27688.1,18695,97061.7,17.22,51.17,63.21,24367.8,127.84,9442.8,235.2,56878.5,0.251847
39895.1,23164,112872,33788.1,23320,94954.4,3.28,1507.58,3168.67,66282.1,72.38,4309.2,39.76,26863,0.251847
13312.6,8170,106788,21731.6,14947,95283.7,2.46,1310.64,3401.3,74851.4,33.84,2697.3,8.96,15056.5,0.252938
38025.4,24235,102828,24088.3,17910,88143.6,29.52,1076.29,2660.41,67239.7,127.84,6485.4,15.68,19029.7,0.254028
20967.8,11779,116661,27912.8,19219,95181.5,9.02,1440.07,3609.42,67469.2,77.08,4135.5,188.72,55461.7,0.254028
28945.7,19906,95297.2,12768.2,9970,83929.6,0,1082.31,2469.49,65074.6,20.68,1745.1,7.28,7695.19,0.255118
39436.6,25666,100698,17340.5,12646,89864.8,18.86,2805.75,6376.04,62006.3,120.32,7204.5,92.4,48059.7,0.255118
43242.5,23466,120768,62605.4,39086,104971,88.56,5804.14,14185.7,71989.6,284.82,23094,38.64,46042,0.256208
39410.7,25279,102173,25832.5,17938,94378.2,25.42,1498.98,3710.47,65846,141.94,6145.2,67.2,62914.6,0.256208
44418.5,30763,94627,21794.8,13103,109009,23.78,5082.17,6023.87,161069,120.32,6488.1,46668.7,79280.5,0.256208
24300.5,16682,95465.6,18160.5,14010,84951.4,70415.9,22.79,35.26,28180.5,62.04,621,9.52,15997.5,0.256208
