"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
161832,113575,135279,171.6,826.2,402.69,0.522382
87250,65556,74783.3,74.88,2704.32,271.56,0.523538
106782,83333,75633.5,74.1,11493.9,218.55,0.527005
48953.1,45387,56962.6,62.4,5511.24,66.03,0.530472
130681,88793,161016,104.52,33076.1,322.71,0.542029
134153,103067,101527,121.68,295.92,278.07,0.559365
134800,87436,74275.5,121.68,1570.32,175.77,0.580168
162680,116296,122956,599.82,8438.04,369.21,0.582479
164544,115163,129372,156,16470.5,320.85,0.598659
77388.4,58964,141512,62.4,190.62,13.02,0.603282
104533,81570,77791,244.14,4327.02,255.75,0.607905
121219,91164,70934,87.36,8993.16,213.9,0.610216
154460,106686,167224,1627.08,22267.4,480.81,0.627552
148819,97160,105658,130.26,228.42,362.7,0.629864
72764.5,56039,83985.7,74.1,26433,217.62,0.637954
95113.6,74950,87455.2,90.48,10681.2,242.73,0.644888
114199,89463,83483.4,100.62,2345.22,163.68,0.647199
124724,99012,87335.8,116.22,2817.18,218.55,0.650666
124142,89045,111041,130.26,11423.7,402.69,0.652978
112482,80859,96192.7,2137.98,16034.2,199.02,0.668002
133917,104426,91988.5,93.6,1899.72,245.52,0.684182
113491,89143,63966.2,107.64,3524.04,243.66,0.686494
135889,96867,104833,144.3,11930.2,624.96,0.692272
121427,84887,94752.1,152.88,260.82,365.49,0.692272
129880,95567,95965,112.32,451.98,258.54,0.694584
113966,87926,76259.8,139.62,235.98,277.14,0.699206
152886,105394,109131,126.36,5348.7,422.22,0.702674
82115.8,55471,96811.3,135.72,2373.84,256.68,0.707296
85513.6,56030,118487,155.22,7965.54,211.11,0.710764
104109,81353,76542.2,88.14,2383.56,215.76,0.713075
79439.2,53769,98648.2,135.72,3039.66,204.6,0.744279
88003.6,72378,71402,69.42,10042.4,149.73,0.752369
74831.2,46802,119043,139.62,18283.9,209.25,0.760459
158614,117350,125380,158.34,148.5,314.34,0.765082
123247,89726,91859.8,121.68,8746.92,265.05,0.772016
104944,82028,58089.7,95.94,8037.36,322.71,0.777795
123900,90477,89713.3,116.22,12082,252.96,0.788196
68805.8,44444,113255,42.12,167.94,22.32,0.788196
131446,99230,93616.4,121.68,1866.24,252.96,0.793975
105525,77351,102614,741,9832.86,262.26,0.802065
128601,80702,128608,156.78,14421.8,425.94,0.817089
109823,81415,94913.5,86.58,1728,335.73,0.819401
78721.1,55629,112278,322.92,10130.9,156.24,0.824023
109430,65562,93401.9,110.76,14754.4,292.02,0.835581
63701.7,54239,50620.4,43.68,76.68,48.36,0.840203
118923,85880,68749.2,85.02,12037.1,239.94,0.863318
111337,86691,106142,94.38,24617.5,242.73,0.867941
130366,90295,146818,169.26,8306.82,489.18,0.874875
43967.5,40465,65936.5,33.54,123.66,3.72,0.882965
196018,127935,140540,216.06,41429.9,429.66,0.902612
146264,107482,108132,150.54,12170,299.46,0.907235
53389,43695,89352.1,5.46,46.44,-6.51,0.910702
108448,87960,69200,1411.8,10093.1,222.27,0.911858
172774,114446,136567,1021.02,13170.6,538.47,0.921103
83792.9,64779,68618.9,77.22,11002.5,154.38,0.923415
77736,56383,109246,86.58,1721.52,240.87,0.928038
101518,79196,90061.1,103.74,112.86,294.81,0.934972
114947,88694,105561,106.86,704.16,205.53,0.941906
50110.5,37238,109909,38.22,90.18,0,0.943062
111163,90307,79678.6,103.74,81.54,269.7,0.946529
125209,96587,103271,230.1,9780.48,300.39,0.953463
120096,90715,92560.3,109.2,829.44,239.01,0.974266
84834.1,63057,91261.6,87.36,326.16,330.15,0.975422
185377,127432,100651,233.22,575.1,459.42,0.976578
198045,135663,139833,195.78,20056.1,339.45,0.976578
47138.5,39870,53739.7,29.64,56.7,8.37,0.988135
162571,109489,135742,449.28,15413.2,717.96,1.00316
127593,94687,78010.9,322.14,12179.7,355.26,1.00316
78067,61343,91678.1,63.18,151.2,213.9,1.00431
144506,103913,114488,138.84,4078.08,339.45,1.01587
115887,87573,89558,114.66,228.42,298.53,1.01587
152260,111443,97399.4,141.96,329.94,358.05,1.02974
46667.7,41451,67053.5,4.68,45.36,-4.65,1.03899
126618,95628,99197.3,117,4135.86,327.36,1.04939
69994,53346,62917.9,78,2704.86,244.59,1.05517
