"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
158143,103826,139097,155.22,169.56,104.16,0.546244
94638.8,71355,71138.3,76.44,88.56,86.49,0.554664
104345,78474,72194.5,92.04,97.74,1806.99,0.554664
103472,72994,93410.5,148.2,115.56,1349.43,0.560979
147638,105859,131866,246.48,187.38,2772.33,0.587291
149406,108138,111811,169.26,180.36,2354.76,0.589396
79733.9,59811,102791,89.7,100.98,2587.26,0.606236
98298.9,71620,101023,123.24,175.5,5232.18,0.629391
95137.3,68523,83859.4,100.62,91.8,101.37,0.652546
44460.4,39340,57043,64.74,72.36,1176.45,0.655703
114577,86043,92584.4,120.9,91.8,1160.64,0.657808
165300,110379,122895,211.38,143.64,2311.05,0.658861
76325.1,57655,105495,93.6,127.98,132.99,0.660966
44257.4,38941,46082.4,40.56,85.86,465,0.669386
70000.3,47297,78691.9,78,62.64,69.75,0.673596
131153,82175,131233,152.1,140.4,88.35,0.680963
108824,73091,125720,129.48,155.52,2795.58,0.680963
96819.2,69187,64222.1,86.58,98.28,1404.3,0.680963
157871,118106,130180,168.48,173.88,2655.15,0.682016
121508,88398,107564,116.22,167.94,49.29,0.682016
163664,120234,106314,146.64,102.06,1695.39,0.68833
120224,83448,98017.1,120.9,132.3,2649.57,0.690435
93507.6,73111,76100.7,81.12,108,104.16,0.691488
127060,83352,105777,124.02,131.76,3426.12,0.695698
57891.2,45736,63151.1,55.38,76.68,1423.83,0.728325
137158,97558,88964.5,151.32,183.06,2554.71,0.739903
127175,98784,74044.6,145.08,115.56,2701.65,0.739903
75050.8,54208,100236,91.26,59.94,2533.32,0.749375
133028,100182,87484,135.72,163.08,4404.48,0.763057
58808.4,44879,71235.8,82.68,70.74,1273.17,0.771477
74509.6,54629,100856,87.36,89.1,70.68,0.816735
62954.3,51205,57724.7,71.76,70.74,79.98,0.81884
99221.6,71034,76431.4,104.52,87.48,70.68,0.82305
126466,94439,88420,92.04,125.28,203.67,0.854624
88810.2,64902,98936.8,117,83.16,2376.15,0.867254
167694,116866,92905.8,154.44,68.58,843.51,0.875674
142520,105516,100594,122.46,79.92,970.92,0.880937
126560,90453,111698,129.48,92.88,4022.25,0.885147
72003,53750,78262.9,99.84,38.88,1230.39,0.890409
50456.5,38922,82713.5,87.36,95.04,79.98,0.925141
136816,101280,99454.7,130.26,149.04,3401.01,0.952506
115037,85674,85111.3,101.4,135.54,1852.56,0.952506
60738.4,40663,81749.5,85.02,46.98,1008.12,0.957769
91641.6,65784,87990.2,78.78,120.42,2399.4,0.969346
110428,79519,86269.6,113.1,102.06,4367.28,0.979871
133458,99422,104342,127.14,57.78,944.88,0.981976
112299,75380,93915.1,84.24,90.18,1122.51,0.981976
64075.3,45707,86254,105.3,86.94,2127.84,0.991448
203580,144795,128386,212.94,194.94,225.99,1.00934
130043,91798,84640.1,90.48,93.96,117.18,1.01566
154462,116329,108574,163.8,128.52,1342.92,1.03355
105224,79327,76761.4,93.6,99.36,111.6,1.04934
113709,75294,113253,140.4,158.22,3122.01,1.06091
100398,74326,88444.2,135.72,59.94,1073.22,1.07039
130359,94506,124600,172.38,147.42,2182.71,1.08091
74892,52458,87710.2,118.56,107.46,1845.12,1.08302
64061.9,50526,94454.9,81.9,51.3,90.21,1.08302
137112,95460,97445.4,127.14,130.68,2497.98,1.08828
106189,82604,66526.2,80.34,86.94,132.06,1.09144
94678.3,63426,88897.4,88.92,100.98,106.95,1.10828
111229,81451,72251.4,72.54,81,125.55,1.10933
83649.1,64927,71946.4,68.64,92.88,80.91,1.11354
114094,83423,86147.1,101.4,136.62,53.94,1.1167
92300.4,62734,93834.8,113.1,127.44,2439.39,1.13459
85552.3,59387,89279.6,81.12,120.96,92.07,1.1409
