"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
418953,231342,105,384906,88,66,109,6009,80,0
321315,221325,91,225313,66,-37,-61,3763,50,0
390529,247170,103,277750,-112,9,34,3874,36,0.000998115
347748,235671,100,207776,180,-8,99,5130,116,0.00199623
478225,267789,110,513218,77,92,85,12102,50,0.00998115
452026,214410,121,138478,92,-12,5,4326,92,0.00998115
258009,173066,96,169989,58,30,-39,3805,61,0.0139736
358577,239009,102,298643,37,40,38,1863,101,0.0159698
411529,264701,112,312698,84,-8,-16,7762,174,0.016968
390869,259667,109,221906,23,101,62,8645,145,0.0189642
292316,204598,97,189196,51,18,-2,4277,19,0.0199623
244492,160412,94,242240,109,-15,14,2529,-79,0.0229566
335180,207836,109,292942,-3,45,42,2349,141,0.0239548
304816,223428,93,132262,115,-37,32,108,28,0.0269491
320783,210617,97,249165,30,17,40,3595,-1,0.0359321
249983,146805,103,468139,-17,88,-8,20,98,0.0449152
468564,284139,113,396104,18,45,50,6609,136,0.0469114
345307,217377,104,262522,9,12,-15,3990,4,0.0588888
376982,221172,111,362398,17,86,32,7216,32,0.060885
359450,245788,96,210384,60,-37,53,2287,-24,0.060885
493153,262403,115,445098,-19,46,114,17232,53,0.0628812
412355,266481,107,283549,51,45,-15,4137,-2,0.0648775
355504,216921,105,269735,32,31,14,5170,78,0.0648775
365122,233985,108,295433,17,34,-9,533,-32,0.0668737
489140,239173,122,435051,66,71,-30,10427,-39,0.0758567
334695,234329,100,172580,-4,-10,-11,5082,35,0.0788511
155299,98022,91,201739,-117,109,24,194,2978,0.0798492
309975,216202,94,223839,61,19,63,5195,55,0.0968171
269771,201123,89,207513,23,-24,78,2028,30,0.101808
377627,229279,113,209247,87,60,25,4391,77,0.107796
337755,236105,100,174116,73,-27,-14,4107,59,0.109793
337413,232308,97,177072,-57,58,46,5519,37,0.111789
259507,176809,95,197357,76,-24,46,3301,38,0.112787
137228,89559,85,218385,-4,-40,28,1307,58,0.112787
413437,264803,102,262430,43,45,97,3959,13,0.114783
507672,249100,116,265130,12,62,11,5957,-32,0.114783
459098,293443,111,400292,118,-13,3,2319,50,0.131751
468106,275962,107,499001,88,30,104,7950,152,0.133747
432782,247495,107,487008,7,28,24,3685,113,0.134745
317847,217885,97,243942,97,0,-5,4981,-23,0.135744
362822,249836,106,266791,63,17,21,5053,-54,0.141732
530986,300326,117,424103,-35,37,16,10675,80,0.144727
384772,194375,105,443023,41,35,125,174,18,0.144727
419331,268819,104,258690,-9,69,22,5718,39,0.148719
396567,259510,102,311388,-33,36,39,3127,110,0.148719
350186,245425,98,173314,-24,33,21,124,76,0.157702
256405,167770,93,255880,-43,16,-56,4489,-34,0.1587
466038,244314,115,584469,201,30,106,5175,70,0.161695
337431,207379,109,371443,30,-18,-20,4163,40,0.165687
382733,233063,113,631920,25,-43,72,7555,104,0.173672
335193,251341,103,160168,31,46,-3,6381,-77,0.177664
354627,264169,99,195195,-24,26,57,4975,17,0.179661
369138,237029,106,199502,73,43,31,5946,-38,0.180659
286907,211003,94,172221,29,-44,26,121,1313,0.181657
409992,279332,99,230721,-19,45,-4,4471,23,0.185649
301458,201760,99,218373,60,1,55,3474,82,0.187646
225192,162420,93,198747,-117,27,-64,3239,-19,0.189642
253884,192779,88,125540,11,2,-47,-68,54,0.193634
391197,264927,102,253561,80,-33,-26,4421,-33,0.197627
428389,273341,111,304128,24,30,41,80,20,0.198625
293795,201545,95,386804,126,50,88,5571,98,0.204614
384741,214774,106,500811,22,-32,-27,5962,46,0.204614
338750,234387,99,197113,89,18,-6,5255,-42,0.204614
444222,233536,111,371170,59,16,-38,3271,23,0.208606
338390,233061,97,204722,-86,-40,54,97,12,0.209604
363274,253474,94,201629,9,-3,-20,4077,28,0.214595
344283,233452,99,181033,86,18,-5,6275,45,0.216591
468719,248204,110,323708,-23,53,66,7713,82,0.218587
306241,187778,98,297209,6,6,45,2962,-27,0.22757
412743,252248,104,331878,79,-7,-21,3877,-12,0.228568
327880,227852,97,198888,-22,-15,-7,2491,1,0.229566
362759,238877,102,294088,-29,54,-6,9450,-26,0.231563
320210,212344,94,178405,-18,59,9,3407,18,0.231563
347524,229027,100,255425,-27,43,62,166,-1,0.235555
378428,267161,96,210204,75,-48,-18,3074,131,0.236553
312814,216855,104,198390,52,28,45,5594,84,0.242542
455911,262828,105,284826,75,69,18,11187,91,0.260508
199831,127970,95,241197,-15,46,38,2570,83,0.261506
398106,213184,109,525619,109,24,20,9909,56,0.269491
408269,229914,114,195423,48,-35,17,7000,17,0.271487
275995,160092,110,448538,31,-10,25,7313,3,0.274482
369322,243162,102,204946,26,-18,66,7809,26,0.287457
355499,219612,109,342670,62,27,16,7409,155,0.291449
342386,243260,104,170147,59,18,-45,6678,147,0.294444
394270,241530,104,335714,3,34,-15,177,-33,0.298436
363353,253118,101,275621,-61,-24,15,5180,64,0.302429
256746,202099,95,191569,26,15,3,8156,-14,0.303427
358670,239940,101,200208,91,34,-16,8784,8,0.306421
353452,226315,99,293030,26,1,11,6956,-120,0.309416
322716,223516,96,216075,86,-18,54,6152,60,0.309416
209242,129665,93,310215,85,84,-39,8931,37,0.311412
348256,241858,100,340355,68,25,11,500,83,0.315404
152008,107481,83,207866,-3,18,3,106,153,0.315404
233416,168360,91,91311,119,-24,98,1899,-58,0.320395
474108,288691,112,316239,65,30,81,303,20,0.323389
319193,211341,93,161002,-62,11,49,5345,54,0.323389
398974,219658,110,527969,158,58,-57,10467,99,0.339359
202623,135654,98,346390,75,80,-6,6902,109,0.34435
401251,260367,98,250832,11,17,2,6534,14,0.34435
433582,260959,114,344941,46,110,23,4124,-30,0.354331
398681,255676,102,284312,118,-5,-26,5737,41,0.355329
332525,215536,101,287260,46,73,-2,3305,17,0.357325
226215,152701,94,344216,57,27,-49,112,20,0.360319
247756,188156,87,106528,106,3,35,6,42,0.364312
376013,217805,112,413709,87,103,135,5714,273,0.366308
385936,252610,102,323392,-22,83,55,4868,-46,0.368304
416518,244773,105,368862,127,37,47,2651,76,0.369302
354642,224908,100,392411,-11,42,-3,8617,59,0.372297
287296,171100,110,343409,-43,12,47,4634,33,0.374293
