"FSC-A","FSC-H","FSC-W","SSC-A","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
61105.8,41465,96578.6,20815.2,91.56,146.58,175.56,24.18,63.9,3856.83,0.0812565
54966.1,39776,90563.6,27237.8,292.32,164.22,176.4,28.83,48.6,6237.48,0.0812565
79870,46402,112805,27848.5,1897.56,951.3,1397.34,58.59,90.9,50217.8,0.0819918
59570,39405,99073.2,53616.4,145.32,141.96,71.82,19.53,155.7,1221.3,0.0838302
85194.2,64522,86533.1,29288.3,152.04,126.42,135.24,41.85,113.4,3878.66,0.0841979
55551.3,32208,113034,30357.6,656.04,334.74,338.94,18.6,144.9,16085.8,0.0853009
94406.2,55767,110944,68538.1,876.12,658.98,764.82,104.16,219.6,20999.9,0.0867716
68181.4,44915,99484.3,34985.2,248.64,235.62,231.84,69.75,219.6,7401.55,0.0867716
74792.2,38833,126222,61104.1,1370.88,634.62,546,70.68,158.4,21976.9,0.0878747
36500.1,27968,85528.8,27197.5,76.44,36.12,-3.36,24.18,154.8,126.26,0.0882423
69913.2,41124,111415,36792.8,231.84,221.34,275.94,33.48,198.9,10998.8,0.08861
48752.2,36917,86546.1,27212.6,290.64,204.54,234.78,39.99,127.8,6091.75,0.0897131
30765,12899,156308,49708.7,210.84,197.4,246.96,-9.3,172.8,1850.83,0.0930221
63680.4,36532,114238,25410.8,97.44,162.96,170.52,25.11,148.5,6628.06,0.0952282
52989.3,38846,89396.8,21419.2,2670.36,1942.08,2298.66,14.88,125.1,79541.4,0.0963312
28123.9,21022,87676.1,18197.8,1366.68,823.62,890.4,10.23,90,36305.6,0.102582
27439.3,21139,85068.4,31346.3,134.4,215.88,232.68,14.88,87.3,6415.07,0.106626
49607.6,31651,102717,20455.7,1091.16,403.62,493.5,0.93,151.2,20268.3,0.106994
105896,60771,114199,42387.2,20929.4,2155.44,2895.9,93,285.3,115743,0.107729
53720.8,42353,83126.3,38283,146.16,118.02,61.74,40.92,153.9,1640.79,0.107729
30511.6,20550,97304.5,20323.8,165.48,221.34,167.58,39.99,117.9,8229.91,0.108097
72719.5,43865,108646,45033.2,1464.12,609,622.44,48.36,189,26429,0.108832
47581.1,34110,91418.2,18973.9,220.08,118.44,38.64,-26.97,56.7,6059.3,0.1092
43468.6,32846,86730.8,31799.9,117.6,122.64,139.02,29.76,59.4,4173.66,0.109935
73500,50036,96268.6,17724,2494.8,695.1,740.88,49.29,137.7,37541.7,0.112509
99270.5,63732,102080,35038.1,52.92,58.8,-17.22,41.85,149.4,1789.47,0.116186
60983.3,44247,90324.8,21299,668.64,346.92,366.24,63.24,181.8,14001.9,0.116553
62249.6,37589,108531,44421.7,635.88,383.88,514.5,83.7,189,17687.6,0.118759
36804.6,30349,79476.3,25730,154.56,73.08,36.12,14.88,205.2,649,0.120598
43763.3,26853,106806,27094.2,575.4,390.18,312.48,3.72,87.3,15897.5,0.122804
43075.2,30354,93001.8,55635.7,284.76,153.3,102.48,39.06,208.8,1052.56,0.123539
71615.6,39046,120202,53141.8,2040.36,872.76,1015.14,28.83,69.3,45126.7,0.123907
28595,19253,97335.6,16330.4,329.28,149.94,204.12,13.95,60.3,7846.41,0.12979
71244.6,53521,87238.4,25930.8,109.2,110.04,144.48,16.74,80.1,4856.29,0.130893
111532,79249,92232.6,29042.2,278.88,379.68,355.32,6.51,65.7,18329.5,0.13126
87347.4,46943,121944,39980.6,1430.52,666.12,735.84,68.82,211.5,29582,0.136408
60425.4,38611,102562,80434.2,438.48,335.16,409.08,2.79,357.3,8509.57,0.136776
79199.4,57403,90420.6,41242.3,7097.16,4428.9,5272.26,31.62,61.2,233836,0.137143
40642,34266,77730.5,14876.4,114.24,134.82,56.7,2.79,87.3,5177.25,0.137511
111051,59992,121313,89397.8,536.76,559.02,501.48,131.13,341.1,17914.2,0.137511
37843.4,30803,80515,46846,330.96,138.6,155.82,25.11,241.2,453.12,0.138246
117879,60008,128738,44514.1,4268.04,1559.04,1733.34,45.57,377.1,70348.1,0.138246
71660.4,48158,97519.3,21573.7,1034.04,693,888.3,42.78,169.2,36470.3,0.138614
44457,31209,93355.6,15892,52.92,55.02,-56.7,20.46,111.6,1962.34,0.138982
83292.3,46553,117257,52542,1530.48,616.56,616.98,61.38,233.1,25298.6,0.139349
91581.7,59064,101617,27761.2,246.96,282.66,252.42,28.83,119.7,10932.7,0.139717
38182.2,22237,112529,31989.7,67.2,96.18,77.28,0,116.1,1174.1,0.140085
90202,55032,107419,45247.4,254.52,195.72,159.18,37.2,142.2,6013.28,0.145232
48888,30814,103976,24738,172.2,290.64,381.78,8.37,79.2,15666.9,0.149644
30113.3,22937,86040.2,38491.3,228.48,112.56,96.18,20.46,120.6,1803.63,0.150012
78947.4,46220,111941,42258.7,711.48,441.84,459.48,78.12,180,21025.2,0.15038
67104.1,44479,98872.1,32035.9,3045.84,1761.06,2220.54,23.25,63.9,89109.5,0.15038
57916.6,41044,92476.9,23913.1,215.88,118.44,157.92,65.1,74.7,5706.48,0.151115
47943,35412,88726.8,13869.2,155.4,66.78,63.42,-32.55,70.2,3716.41,0.160675
31733.8,27007,77006.2,27457.1,171.36,86.1,78.96,22.32,159.3,815.97,0.164351
48153,38359,82269,19443.5,551.04,410.76,572.04,37.2,49.5,18323.6,0.168396
43432.2,29011,98113.6,31237.1,454.44,298.2,281.82,-7.44,89.1,16033.2,0.168396
43453.2,30310,93954.1,38463.6,234.36,117.18,94.5,31.62,202.5,2189.49,0.170602
29185.1,21429,89256.4,35685.7,62.16,105.42,42.84,5.58,50.4,682.04,0.172808
94743.6,57581,107833,31311.8,972.72,685.86,994.14,85.56,293.4,36377,0.174646
37506,23928,102725,39727,4174.8,1305.78,1538.04,69.75,49.5,66808.6,0.175749
31978.1,24001,87317.9,15755.9,157.92,144.48,156.66,45.57,66.6,5033.29,0.175749
61983.6,37100,109492,42154.6,1011.36,607.32,565.74,94.86,170.1,28032.1,0.175749
54820.5,40055,89694.6,32800.3,2139.48,1776.6,1982.82,29.76,81,82320.9,0.176117
125906,68661,120176,98160.7,4319.28,1635.06,1897.14,28.83,283.5,73963.6,0.176117
79300.2,49619,104738,25698.1,262.08,157.08,84.42,39.99,148.5,6984.42,0.176485
65967.3,33171,130332,51467.6,2019.36,1061.76,1169.7,63.24,362.7,39052.7,0.176485
