"","Name","ND.T","signal","rep"
"1","pNK005_none",1,226.756,"1"
"2","pNK005_none",2,227.094,"1"
"3","pNK005_none",3,221.662,"1"
"4","pNK005_none",4,219.264,"1"
"5","pNK005_none",5,214.226,"1"
"6","pNK005_none",6,216.222,"1"
"7","pNK005_none",7,216.08,"1"
"8","pNK005_none",8,215.006,"1"
"9","pNK005_none",9,209.176,"1"
"10","pNK005_none",10,207.908,"1"
"11","pNK005_none",11,206.068,"1"
"12","pNK005_none",12,204.586,"1"
"13","pNK005_none",13,203.65,"1"
"14","pNK005_none",14,201.656,"1"
"15","pNK005_none",15,204.114,"1"
"16","pNK005_none",16,201.82,"1"
"17","pNK005_none",17,205.092,"1"
"18","pNK005_none",18,203.33,"1"
"19","pNK005_none",19,203.106,"1"
"20","pNK005_none",20,204.544,"1"
"21","pNK005_none",21,205.526,"1"
"22","pNK005_none",22,207.668,"1"
"23","pNK005_none",23,351.874,"1"
"24","pNK005_none",24,395.32,"1"
"25","pNK005_none",25,212.692,"1"
"26","pNK005_none",26,209.42,"1"
"27","pNK005_none",27,209.168,"1"
"28","pNK005_none",28,212.28,"1"
"29","pNK005_none",29,211.008,"1"
"30","pNK005_none",30,217.61,"1"
"31","pNK005_none",31,217.162,"1"
"32","pNK005_none",32,212.362,"1"
"33","pNK005_none",33,214.45,"1"
"34","pNK005_none",34,217,"1"
"35","pNK005_none",35,222.364,"1"
"36","pNK005_none",36,225.062,"1"
"37","pNK005_none",37,228.032,"1"
"38","pNK005_none",38,227.386,"1"
"39","pNK005_none",39,227.704,"1"
"40","pNK005_none",40,224.294,"1"
"41","pNK005_none",41,227.414,"1"
"42","pNK005_none",42,230.926,"1"
"43","pNK005_none",43,230.312,"1"
"44","pNK005_none",44,229.742,"1"
"45","pNK005_none",45,227.908,"1"
"46","pNK005_none",46,232.402,"1"
"47","pNK005_none",47,232.312,"1"
"48","pNK005_none",48,234.154,"1"
"49","pNK005_none",49,237.034,"1"
"50","pNK005_none",50,240.096,"1"
"51","pNK005_none",51,240.296,"1"
"52","pNK005_none",52,238.57,"1"
"53","pNK005_none",53,243.086,"1"
"54","pNK005_none",54,248.7,"1"
"55","pNK005_none",55,250.632,"1"
