,Name,ND.T,signal,rep
1,pNK005_none,1,76.7,2
2,pNK005_none,2,72.154,2
3,pNK005_none,3,67.952,2
4,pNK005_none,4,68.342,2
5,pNK005_none,5,65.534,2
6,pNK005_none,6,68.17,2
7,pNK005_none,7,71.772,2
8,pNK005_none,8,72.996,2
9,pNK005_none,9,76.72,2
10,pNK005_none,10,76.668,2
11,pNK005_none,11,79.528,2
12,pNK005_none,12,82.242,2
13,pNK005_none,13,81.802,2
14,pNK005_none,14,83.43,2
15,pNK005_none,15,83.21,2
16,pNK005_none,16,87.174,2
17,pNK005_none,17,87.094,2
18,pNK005_none,18,90.398,2
19,pNK005_none,19,90.174,2
20,pNK005_none,20,91.908,2
21,pNK005_none,21,89.94,2
22,pNK005_none,22,89.108,2
23,pNK005_none,23,88.202,2
24,pNK005_none,24,91.796,2
25,pNK005_none,25,91.744,2
26,pNK005_none,26,94.132,2
27,pNK005_none,27,95.402,2
28,pNK005_none,28,95.712,2
29,pNK005_none,29,94.56,2
30,pNK005_none,30,95.18,2
31,pNK005_none,31,101.242,2
32,pNK005_none,32,107.884,2
33,pNK005_none,33,159.758,2
34,pNK005_none,34,141.472,2
35,pNK005_none,35,168.982,2
36,pNK005_none,36,165.954,2
37,pNK005_none,37,244.428,2
38,pNK005_none,38,268.498,2
39,pNK005_none,39,311.148,2
40,pNK005_none,40,389.306,2
41,pNK005_none,41,439.276,2
42,pNK005_none,42,477.29,2
43,pNK005_none,43,498.474,2
44,pNK005_none,44,501.41,2
45,pNK005_none,45,494.588,2
46,pNK005_none,46,479.614,2
47,pNK005_none,47,476.83,2
48,pNK005_none,48,498.448,2
49,pNK005_none,49,539.65,2
50,pNK005_none,50,589.828,2
51,pNK005_none,51,644.95,2
52,pNK005_none,52,694.35,2
53,pNK005_none,53,735.936,2
54,pNK005_none,54,773.734,2
55,pNK005_none,55,803.264,2
56,pNK005_none,56,824.138,2
57,pNK005_none,57,841.938,2
58,pNK005_none,58,852.544,2
59,pNK005_none,59,861.834,2
60,pNK005_none,60,862.402,2
61,pNK005_none,61,862.546,2
62,pNK005_none,62,855.284,2
63,pNK005_none,63,849.724,2
64,pNK005_none,64,839.996,2
65,pNK005_none,65,827.436,2
66,pNK005_none,66,811.302,2
67,pNK005_none,67,790.148,2
68,pNK005_none,68,768.546,2
69,pNK005_none,69,748.78,2
70,pNK005_none,70,726.222,2
71,pNK005_none,71,706.174,2
72,pNK005_none,72,680.542,2
73,pNK005_none,73,663.324,2
74,pNK005_none,74,642.496,2
75,pNK005_none,75,617.882,2
76,pNK005_none,76,597.936,2
77,pNK005_none,77,576.756,2
78,pNK005_none,78,554.202,2
79,pNK005_none,79,532.65,2
80,pNK005_none,80,515.78,2
81,pNK005_none,81,494.342,2
82,pNK005_none,82,478.424,2
83,pNK005_none,83,458.78,2
84,pNK005_none,84,442.4,2
85,pNK005_none,85,425.836,2
86,pNK005_none,86,413.338,2
87,pNK005_none,87,399.122,2
88,pNK005_none,88,383.932,2
89,pNK005_none,89,373.454,2
90,pNK005_none,90,362.356,2
91,pNK005_none,91,349.356,2
92,pNK005_none,92,342.182,2
93,pNK005_none,93,330.494,2
94,pNK005_none,94,320.332,2
95,pNK005_none,95,312.028,2
