name,cells,clone,bxb1,selection,red,greed_red,green,neither,,,,
Sample.fcs,G542A,3,added,none,5.47,0.036,6.2,,,,,
Sample(1)_duplicate.fcs,G542A,3,none,none,4.77,0.14,5.24,,,,,
Sample(2).fcs,Int-Blast,2,added,none,7.22,0.078,12.5,,,,,
Sample(3).fcs,Int-Blast,2,none,none,6.88,0.16,12.7,,,,,
Sample(4).fcs,iCasp9-Blast,12,added,none,8.17,0.058,8.12,,,,,
Sample(5).fcs,iCasp9-Blast,12,none,none,0.00073,0.012,0.044,,,,,
Sample(6).fcs,G542A,3,added,ap1903,18.3,0.86,48.1,,,,,
Sample(7).fcs,G542A,3,none,ap1903,14.6,0.53,52.1,,,,,
Sample(8).fcs,Int-Blast,2,added,ap1903,26.6,0,24.6,,,,,
Sample(9).fcs,Int-Blast,2,none,ap1903,3.08,0.38,6.92,,,,,
Sample(10).fcs,iCasp9-Blast,12,added,ap1903,42.4,1.57,39.2,,,,,
Sample(11).fcs,iCasp9-Blast,12,none,ap1903,0.14,0,0.19,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
